NAME,B03001_005E,state,year
New York,487500,36,1970
New Jersey,84300,34,1970
Illinois,54200,17,1970
Pennsylvania,23700,42,1970
Connecticut,22200,09,1970
California,21600,06,1970
Florida,21400,12,1970
Massachusetts,15000,25,1970
Ohio,9700,39,1970
Indiana,5100,18,1970
Texas,4600,48,1970
Michigan,4500,26,1970
Maryland,4400,24,1970
Virginia,3500,51,1970
Wisconsin,3200,55,1970
Georgia,2900,13,1970
Louisiana,2500,22,1970
Delaware,2000,10,1970
Colorado,2000,08,1970
Hawaii,1600,15,1970
South Carolina,1500,45,1970
Washington,1400,53,1970
North Carolina,1400,37,1970
Alabama,1300,01,1970
Missouri,1100,29,1970
Arizona,1100,04,1970
Alaska,1000,02,1970
Tennessee,900,47,1970
Oklahoma,800,40,1970
Mississippi,700,28,1970
District of Columbia,500,11,1970
Kentucky,400,21,1970
New Mexico,400,35,1970
Kansas,400,20,1970
Nebraska,300,31,1970
Oregon,300,41,1970
Montana,300,30,1970
Rhode Island,200,44,1970
South Dakota,200,46,1970
Maine,200,23,1970
Nevada,100,32,1970
Utah,100,49,1970
Vermont,100,50,1970
Iowa,100,19,1970
Minnesota,100,27,1970
West Virginia,100,54,1970
Wyoming,100,56,1970
