NAME,B03001_005E,state,year
New York,442120,36,1960
New Jersey,40920,34,1960
Illinois,27240,17,1960
California,16680,06,1960
Florida,14540,12,1960
Pennsylvania,14220,42,1960
Connecticut,10260,09,1960
Ohio,7980,39,1960
Indiana,5300,18,1960
Massachusetts,3400,25,1960
Texas,2860,48,1960
Wisconsin,2820,55,1960
Virginia,2220,51,1960
Michigan,2020,26,1960
Maryland,1780,24,1960
Georgia,1640,13,1960
Washington,1560,53,1960
North Carolina,1340,37,1960
Hawaii,1220,15,1960
Kentucky,1200,21,1960
Oklahoma,1140,40,1960
Louisiana,1140,22,1960
District of Columbia,1120,11,1960
South Carolina,900,45,1960
Kansas,880,20,1960
Alaska,780,02,1960
Delaware,660,10,1960
Colorado,560,08,1960
Alabama,540,01,1960
Arizona,540,04,1960
Missouri,500,29,1960
Maine,320,23,1960
New Mexico,240,35,1960
Nebraska,240,31,1960
Tennessee,240,47,1960
Rhode Island,200,44,1960
Minnesota,180,27,1960
Utah,160,49,1960
West Virginia,160,54,1960
Mississippi,140,28,1960
Arkansas,140,05,1960
New Hampshire,120,33,1960
Nevada,100,32,1960
Iowa,100,19,1960
South Dakota,60,46,1960
Oregon,40,41,1960
North Dakota,40,38,1960
Vermont,40,50,1960
Idaho,20,16,1960
Montana,20,30,1960
