NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Alabama,4744420.0,247068.0,821442.0,137332.0,345240.0,311340.0,01,2013,4497352.0,94.79,7.28,6.56
Alaska,709363.0,43409.0,133508.0,20299.0,57846.0,57136.0,02,2013,665954.0,93.88,8.15,8.05
Arizona,6395635.0,362488.0,1174489.0,185930.0,461534.0,440212.0,04,2013,6033147.0,94.33,7.22,6.88
Arkansas,2898882.0,160870.0,514607.0,83007.0,203844.0,192244.0,05,2013,2738012.0,94.45,7.03,6.63
California,37198858.0,2067429.0,6714466.0,1118314.0,2843639.0,2779994.0,06,2013,35131429.0,94.44,7.64,7.47
Colorado,5054734.0,275207.0,888263.0,141633.0,360848.0,378101.0,08,2013,4779527.0,94.56,7.14,7.48
Delaware,897837.0,45391.0,148937.0,27045.0,64736.0,58878.0,10,2013,852446.0,94.94,7.21,6.56
District of Columbia,611783.0,28904.0,68799.0,24074.0,59699.0,72590.0,11,2013,582879.0,95.28,9.76,11.87
Connecticut,3549044.0,162878.0,606650.0,106047.0,229708.0,217169.0,09,2013,3386166.0,95.41,6.47,6.12
Florida,18888570.0,873718.0,2930491.0,492664.0,1274194.0,1206158.0,12,2013,18014852.0,95.37,6.75,6.39
Georgia,9685706.0,552667.0,1810908.0,296175.0,702836.0,673866.0,13,2013,9133039.0,94.29,7.26,6.96
Idaho,1561155.0,95546.0,309263.0,45138.0,110262.0,105906.0,16,2013,1465609.0,93.88,7.06,6.78
Hawaii,1358968.0,71893.0,215681.0,33224.0,99953.0,101636.0,15,2013,1287075.0,94.71,7.36,7.48
Illinois,12695273.0,667490.0,2265645.0,364713.0,887686.0,900353.0,17,2013,12027783.0,94.74,6.99,7.09
Indiana,6434804.0,347395.0,1169688.0,194005.0,464838.0,416258.0,18,2013,6087409.0,94.6,7.22,6.47
Iowa,3025173.0,160230.0,527412.0,92831.0,217981.0,195306.0,19,2013,2864943.0,94.7,7.21,6.46
Kansas,2828927.0,163581.0,522001.0,84709.0,208626.0,195863.0,20,2013,2665346.0,94.22,7.37,6.92
Kentucky,4309798.0,227331.0,741764.0,118877.0,301247.0,280656.0,21,2013,4082467.0,94.73,6.99,6.51
Louisiana,4509520.0,253627.0,803743.0,129106.0,345231.0,333136.0,22,2013,4255893.0,94.38,7.66,7.39
Maine,1315325.0,54181.0,201929.0,36220.0,79714.0,73767.0,23,2013,1261144.0,95.88,6.06,5.61
Maryland,5763751.0,295806.0,982439.0,164573.0,398106.0,401361.0,24,2013,5467945.0,94.87,6.91,6.96
Massachusetts,6534951.0,296189.0,1041754.0,208432.0,477862.0,454992.0,25,2013,6238762.0,95.47,7.31,6.96
Michigan,9775443.0,474606.0,1718497.0,295238.0,692516.0,590104.0,26,2013,9300837.0,95.14,7.08,6.04
Minnesota,5281524.0,285200.0,928964.0,148969.0,356060.0,368751.0,27,2013,4996324.0,94.6,6.74,6.98
Mississippi,2939062.0,167775.0,542911.0,91570.0,218696.0,195041.0,28,2013,2771287.0,94.29,7.44,6.64
Missouri,5934645.0,310474.0,1030033.0,171225.0,420305.0,400744.0,29,2013,5624171.0,94.77,7.08,6.75
Montana,987230.0,49716.0,162255.0,27693.0,69619.0,62843.0,30,2013,937514.0,94.96,7.05,6.37
Nebraska,1815644.0,104484.0,329651.0,54211.0,131599.0,127132.0,31,2013,1711160.0,94.25,7.25,7.0
Nevada,2695564.0,149036.0,478532.0,67530.0,183507.0,196387.0,32,2013,2546528.0,94.47,6.81,7.29
New Hampshire,1306736.0,55681.0,212744.0,39994.0,85126.0,74442.0,33,2013,1251055.0,95.74,6.51,5.7
New Jersey,8736147.0,441648.0,1509333.0,228564.0,548856.0,558684.0,34,2013,8294499.0,94.94,6.28,6.4
New Mexico,2042718.0,114545.0,372370.0,60520.0,148054.0,140228.0,35,2013,1928173.0,94.39,7.25,6.86
New York,19265730.0,943254.0,3126442.0,564013.0,1420961.0,1406359.0,36,2013,18322476.0,95.1,7.38,7.3
North Carolina,9535230.0,507557.0,1657891.0,278391.0,683369.0,626115.0,37,2013,9027673.0,94.68,7.17,6.57
North Dakota,680864.0,36358.0,108593.0,22498.0,62986.0,50271.0,38,2013,644506.0,94.66,9.25,7.38
Ohio,11418877.0,575726.0,1989377.0,330877.0,776377.0,723997.0,39,2013,10843151.0,94.96,6.8,6.34
Oklahoma,3736051.0,214468.0,671200.0,108779.0,277306.0,263833.0,40,2013,3521583.0,94.26,7.42,7.06
Oregon,3825695.0,190689.0,628573.0,102844.0,259756.0,263150.0,41,2013,3635006.0,95.02,6.79,6.88
Pennsylvania,12597683.0,589280.0,2037402.0,384657.0,873582.0,800231.0,42,2013,12008403.0,95.32,6.93,6.35
