NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Mississippi,2917370.0,170474.0,547155.0,93621.0,213433.0,196677.0,28,2011,2746896.0,94.16,7.32,6.74
Missouri,5881190.0,312303.0,1036732.0,176436.0,411991.0,398897.0,29,2011,5568887.0,94.69,7.01,6.78
Montana,970840.0,48686.0,162509.0,29070.0,67091.0,62006.0,30,2011,922154.0,94.99,6.91,6.39
Nebraska,1787535.0,104432.0,325284.0,54513.0,130117.0,124802.0,31,2011,1683103.0,94.16,7.28,6.98
Nevada,2636266.0,151836.0,473153.0,68173.0,178243.0,197259.0,32,2011,2484430.0,94.24,6.76,7.48
New Hampshire,1303642.0,58669.0,219962.0,39621.0,83970.0,72175.0,33,2011,1244973.0,95.5,6.44,5.54
New Jersey,8651029.0,441335.0,1525323.0,226127.0,531982.0,550527.0,34,2011,8209694.0,94.9,6.15,6.36
New Mexico,2009413.0,116265.0,371237.0,61059.0,144111.0,138074.0,35,2011,1893148.0,94.21,7.17,6.87
New York,19078454.0,934013.0,3189602.0,568934.0,1386432.0,1369432.0,36,2011,18144441.0,95.1,7.27,7.18
North Carolina,9298254.0,506277.0,1635658.0,275947.0,651236.0,613676.0,37,2011,8791977.0,94.56,7.0,6.6
North Dakota,658084.0,34122.0,105549.0,22552.0,60155.0,46526.0,38,2011,623962.0,94.81,9.14,7.07
Ohio,11389893.0,585140.0,2023393.0,334354.0,758505.0,732200.0,39,2011,10804753.0,94.86,6.66,6.43
Oklahoma,3664969.0,210691.0,660654.0,111340.0,271204.0,259579.0,40,2011,3454278.0,94.25,7.4,7.08
Oregon,3757068.0,190556.0,628978.0,104182.0,254188.0,262283.0,41,2011,3566512.0,94.93,6.77,6.98
Pennsylvania,12522536.0,589474.0,2075678.0,390275.0,855973.0,778008.0,42,2011,11933062.0,95.29,6.84,6.21
Rhode Island,1042909.0,46926.0,168629.0,37815.0,80952.0,66446.0,44,2011,995983.0,95.5,7.76,6.37
South Carolina,4518115.0,241579.0,775808.0,141497.0,327799.0,302121.0,45,2011,4276536.0,94.65,7.26,6.69
South Dakota,796941.0,46793.0,142829.0,24411.0,57818.0,54451.0,46,2011,750148.0,94.13,7.25,6.83
Tennessee,6221993.0,329184.0,1086295.0,176066.0,424472.0,419284.0,47,2011,5892809.0,94.71,6.82,6.74
Texas,24406967.0,1556520.0,4850722.0,747965.0,1807856.0,1825016.0,48,2011,22850447.0,93.62,7.41,7.48
Vermont,618939.0,25985.0,98366.0,21241.0,44141.0,34653.0,50,2011,592954.0,95.8,7.13,5.6
Utah,2665038.0,208395.0,592940.0,90728.0,230717.0,226691.0,49,2011,2456643.0,92.18,8.66,8.51
Virginia,7829090.0,409807.0,1337018.0,234831.0,567437.0,550008.0,51,2011,7419283.0,94.77,7.25,7.03
Washington,6567564.0,347910.0,1136027.0,185578.0,461413.0,476039.0,53,2011,6219654.0,94.7,7.03,7.25
West Virginia,1827220.0,85030.0,283812.0,52708.0,117932.0,108825.0,54,2011,1742190.0,95.35,6.45,5.96
