NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Mississippi,2951122.0,155757.0,535446.0,88471.0,215347.0,199377.0,28,2017,2795365.0,94.72,7.3,6.76
Missouri,6004450.0,302291.0,1016268.0,159995.0,425687.0,407251.0,29,2017,5702159.0,94.97,7.09,6.78
Montana,1018509.0,49865.0,164940.0,26614.0,73171.0,64621.0,30,2017,968644.0,95.1,7.18,6.34
Nebraska,1868396.0,105302.0,338992.0,53269.0,136991.0,124470.0,31,2017,1763094.0,94.36,7.33,6.66
Nevada,2854720.0,148202.0,488795.0,65137.0,184563.0,211829.0,32,2017,2706518.0,94.81,6.47,7.42
New Hampshire,1319364.0,51749.0,199624.0,38669.0,89851.0,78993.0,33,2017,1267615.0,96.08,6.81,5.99
New Jersey,8863801.0,430356.0,1473105.0,220973.0,575668.0,572509.0,34,2017,8433445.0,95.14,6.49,6.46
New Mexico,2060649.0,106883.0,366665.0,56047.0,149424.0,140147.0,35,2017,1953766.0,94.81,7.25,6.8
Alabama,4795681.0,237073.0,810519.0,131333.0,340119.0,322950.0,01,2017,4558608.0,95.06,7.09,6.73
Alaska,728411.0,44113.0,131979.0,18319.0,58558.0,61956.0,02,2017,684298.0,93.94,8.04,8.51
Arizona,6729145.0,353956.0,1187669.0,187848.0,483497.0,469013.0,04,2017,6375189.0,94.74,7.19,6.97
Arkansas,2940610.0,152810.0,515574.0,81055.0,205401.0,196865.0,05,2017,2787800.0,94.8,6.98,6.69
California,38521701.0,2032399.0,6621175.0,1057585.0,2859724.0,2989780.0,06,2017,36489302.0,94.72,7.42,7.76
New York,19577129.0,955778.0,3026427.0,528568.0,1405547.0,1497168.0,36,2017,18621351.0,95.12,7.18,7.65
North Carolina,9938545.0,489964.0,1685699.0,273487.0,705347.0,675033.0,37,2017,9448581.0,95.07,7.1,6.79
North Dakota,735068.0,41359.0,118604.0,22182.0,67433.0,59017.0,38,2017,693709.0,94.37,9.17,8.03
Ohio,11477267.0,563215.0,1931464.0,311218.0,783220.0,761750.0,39,2017,10914052.0,95.09,6.82,6.64
Oklahoma,3846134.0,214996.0,691162.0,104409.0,282079.0,271494.0,40,2017,3631138.0,94.41,7.33,7.06
Oregon,3982638.0,189365.0,632402.0,98213.0,264705.0,277729.0,41,2017,3793273.0,95.25,6.65,6.97
Pennsylvania,12653578.0,574720.0,1977270.0,356915.0,858720.0,851686.0,42,2017,12078858.0,95.46,6.79,6.73
Rhode Island,1045699.0,44132.0,156011.0,35373.0,80922.0,73684.0,44,2017,1001567.0,95.78,7.74,7.05
South Carolina,4838105.0,234625.0,800991.0,136726.0,340162.0,330723.0,45,2017,4603480.0,95.15,7.03,6.84
South Dakota,843823.0,48591.0,150749.0,23206.0,60672.0,56707.0,46,2017,795232.0,94.24,7.19,6.72
Tennessee,6521606.0,326803.0,1095069.0,166032.0,455252.0,450690.0,47,2017,6194803.0,94.99,6.98,6.91
Texas,27043629.0,1605867.0,5231267.0,767814.0,1984250.0,2015427.0,48,2017,25437762.0,94.06,7.34,7.45
Vermont,619085.0,24278.0,89951.0,20962.0,45994.0,35856.0,50,2017,594807.0,96.08,7.43,5.79
Utah,2945506.0,205579.0,657397.0,88317.0,251123.0,222440.0,49,2017,2739927.0,93.02,8.53,7.55
Virginia,8266889.0,410859.0,1356352.0,233034.0,585879.0,585428.0,51,2017,7856030.0,95.03,7.09,7.08
