NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Alabama,4973110.0,236874.0,818786.0,147965.0,340965.0,328225.0,01,2022,4736236.0,95.24,6.86,6.6
Alaska,725220.0,39390.0,130347.0,18365.0,51247.0,57587.0,02,2022,685830.0,94.57,7.07,7.94
Arizona,7100342.0,330696.0,1190827.0,198236.0,501624.0,501362.0,04,2022,6769646.0,95.34,7.06,7.06
Arkansas,2984694.0,147349.0,515944.0,84336.0,205218.0,195578.0,05,2022,2837345.0,95.06,6.88,6.55
California,38955785.0,1857989.0,6516262.0,1064062.0,2674774.0,2923386.0,06,2022,37097796.0,95.23,6.87,7.5
Colorado,5714402.0,260801.0,924121.0,156268.0,390452.0,443794.0,08,2022,5453601.0,95.44,6.83,7.77
Connecticut,3576464.0,147915.0,560109.0,106259.0,241391.0,223561.0,09,2022,3428549.0,95.86,6.75,6.25
Delaware,984804.0,45159.0,152712.0,26747.0,59822.0,62852.0,10,2022,939645.0,95.41,6.07,6.38
District of Columbia,662242.0,33177.0,82534.0,16682.0,45253.0,74883.0,11,2022,629065.0,94.99,6.83,11.31
Florida,21432310.0,902346.0,3130864.0,516506.0,1302747.0,1357126.0,12,2022,20529964.0,95.79,6.08,6.33
Georgia,10609628.0,522602.0,1877246.0,308078.0,743082.0,742855.0,13,2022,10087026.0,95.07,7.0,7.0
Hawaii,1434125.0,68088.0,220767.0,30863.0,91878.0,98504.0,15,2022,1366037.0,95.25,6.41,6.87
Idaho,1833299.0,91766.0,342203.0,61181.0,125853.0,120574.0,16,2022,1741533.0,94.99,6.86,6.58
Illinois,12623719.0,587250.0,2099312.0,341132.0,849609.0,869427.0,17,2022,12036469.0,95.35,6.73,6.89
Indiana,6710521.0,335691.0,1167888.0,196298.0,478553.0,449756.0,18,2022,6374830.0,95.0,7.13,6.7
Iowa,3154616.0,155577.0,540521.0,95687.0,231629.0,199828.0,19,2022,2999039.0,95.07,7.34,6.33
Kansas,2903058.0,147619.0,520929.0,88641.0,219349.0,189389.0,20,2022,2755439.0,94.92,7.56,6.52
Kentucky,4453757.0,217375.0,744927.0,118550.0,305796.0,298716.0,21,2022,4236382.0,95.12,6.87,6.71
Louisiana,4585238.0,234534.0,792735.0,122768.0,314055.0,314628.0,22,2022,4350704.0,94.89,6.85,6.86
Maine,1354195.0,50428.0,187634.0,33124.0,77048.0,80106.0,23,2022,1303767.0,96.28,5.69,5.92
Maryland,6096285.0,293117.0,1001755.0,159458.0,381860.0,399987.0,24,2022,5803168.0,95.19,6.26,6.56
Massachusetts,6920353.0,287356.0,1015808.0,209493.0,487595.0,492870.0,25,2022,6632997.0,95.85,7.05,7.12
Michigan,9955256.0,450138.0,1596661.0,272377.0,697641.0,671615.0,26,2022,9505118.0,95.48,7.01,6.75
Minnesota,5631390.0,276644.0,966538.0,148461.0,365355.0,369859.0,27,2022,5354746.0,95.09,6.49,6.57
Mississippi,2927698.0,147098.0,512830.0,91331.0,208117.0,190431.0,28,2022,2780600.0,94.98,7.11,6.5
Missouri,6085489.0,291242.0,1014300.0,165709.0,415129.0,407783.0,29,2022,5794247.0,95.21,6.82,6.7
Montana,1080579.0,47742.0,172344.0,27920.0,74373.0,70671.0,30,2022,1032837.0,95.58,6.88,6.54
Nebraska,1935536.0,103909.0,353123.0,56673.0,138546.0,127881.0,31,2022,1831627.0,94.63,7.16,6.61
Nevada,3073555.0,146841.0,511589.0,70840.0,189798.0,221217.0,32,2022,2926714.0,95.22,6.18,7.2
New Hampshire,1368913.0,52222.0,193269.0,37387.0,88682.0,85815.0,33,2022,1316691.0,96.19,6.48,6.27
New Jersey,9156074.0,431006.0,1491566.0,230701.0,575798.0,584464.0,34,2022,8725068.0,95.29,6.29,6.38
New Mexico,2091251.0,94715.0,357551.0,59247.0,145830.0,140466.0,35,2022,1996536.0,95.47,6.97,6.72
New York,19779789.0,907282.0,3006571.0,526939.0,1317189.0,1435397.0,36,2022,18872507.0,95.41,6.66,7.26
North Carolina,10362852.0,482405.0,1694121.0,300185.0,714029.0,702566.0,37,2022,9880447.0,95.34,6.89,6.78
North Dakota,766553.0,41396.0,131016.0,24679.0,63206.0,56815.0,38,2022,725157.0,94.6,8.25,7.41
Ohio,11645871.0,547591.0,1916919.0,315533.0,768124.0,778785.0,39,2022,11098280.0,95.3,6.6,6.69
Oklahoma,3925361.0,202330.0,702978.0,113797.0,284981.0,269346.0,40,2022,3723031.0,94.85,7.26,6.86
Oregon,4190769.0,177151.0,640222.0,103342.0,270958.0,290955.0,41,2022,4013618.0,95.77,6.47,6.94
Pennsylvania,12860342.0,559705.0,1975991.0,368497.0,828066.0,836246.0,42,2022,12300637.0,95.65,6.44,6.5
Rhode Island,1084703.0,44625.0,154152.0,36343.0,78299.0,75403.0,44,2022,1040078.0,95.89,7.22,6.95
South Carolina,5090760.0,231291.0,820646.0,148665.0,336837.0,332015.0,45,2022,4859469.0,95.46,6.62,6.52
South Dakota,879417.0,47160.0,158527.0,24319.0,60424.0,56612.0,46,2022,832257.0,94.64,6.87,6.44
Tennessee,6844104.0,322923.0,1123889.0,177590.0,460990.0,483816.0,47,2022,6521181.0,95.28,6.74,7.07
Texas,28899436.0,1579516.0,5472706.0,857215.0,2079051.0,2107067.0,48,2022,27319920.0,94.53,7.19,7.29
Utah,3239373.0,195081.0,696480.0,106369.0,281524.0,250934.0,49,2022,3044292.0,93.98,8.69,7.75
Vermont,638512.0,22971.0,88542.0,21165.0,46801.0,38180.0,50,2022,615541.0,96.4,7.33,5.98
Virginia,8535185.0,404822.0,1382678.0,248524.0,580019.0,579897.0,51,2022,8130363.0,95.26,6.8,6.79
Washington,7609136.0,360759.0,1222825.0,184597.0,493641.0,571263.0,53,2022,7248377.0,95.26,6.49,7.51
West Virginia,1773194.0,70607.0,269404.0,47963.0,113691.0,107037.0,54,2022,1702587.0,96.02,6.41,6.04
Wisconsin,5823886.0,263352.0,947547.0,160867.0,404289.0,370173.0,55,2022,5560534.0,95.48,6.94,6.36
