NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Alabama,5000035.0,240199.0,833584.0,143802.0,334148.0,323591.0,01,2023,4759836.0,95.2,6.68,6.47
Alaska,724931.0,38785.0,130633.0,17514.0,50096.0,55994.0,02,2023,686146.0,94.65,6.91,7.72
Arizona,7197987.0,329311.0,1195281.0,194021.0,488741.0,503268.0,04,2023,6868676.0,95.42,6.79,6.99
Arkansas,2998272.0,148059.0,523441.0,81825.0,201168.0,194270.0,05,2023,2850213.0,95.06,6.71,6.48
California,38844391.0,1815747.0,6514871.0,1025747.0,2546828.0,2849879.0,06,2023,37028644.0,95.33,6.56,7.34
Colorado,5754457.0,259153.0,925412.0,151281.0,380077.0,444215.0,08,2023,5495304.0,95.5,6.6,7.72
Connecticut,3562215.0,145107.0,552758.0,98074.0,233423.0,222628.0,09,2023,3417108.0,95.93,6.55,6.25
Delaware,996746.0,45419.0,155851.0,26493.0,58541.0,61775.0,10,2023,951327.0,95.44,5.87,6.2
District of Columbia,663240.0,32077.0,84759.0,17445.0,44553.0,73370.0,11,2023,631163.0,95.16,6.72,11.06
Florida,21722555.0,908002.0,3191038.0,503781.0,1269435.0,1347593.0,12,2023,20814553.0,95.82,5.84,6.2
Georgia,10707149.0,523670.0,1902961.0,300888.0,726570.0,740455.0,13,2023,10183479.0,95.11,6.79,6.92
Hawaii,1429303.0,65689.0,219451.0,29524.0,87288.0,95045.0,15,2023,1363614.0,95.4,6.11,6.65
Idaho,1872550.0,92520.0,349901.0,60730.0,125080.0,121846.0,16,2023,1780030.0,95.06,6.68,6.51
Illinois,12560727.0,576704.0,2100249.0,327430.0,817737.0,856434.0,17,2023,11984023.0,95.41,6.51,6.82
Indiana,6737255.0,337326.0,1184248.0,190034.0,466343.0,448264.0,18,2023,6399929.0,94.99,6.92,6.65
Iowa,3161083.0,153726.0,547999.0,93469.0,225413.0,198526.0,19,2023,3007357.0,95.14,7.13,6.28
Kansas,2904957.0,146848.0,525361.0,85743.0,213712.0,188524.0,20,2023,2758109.0,94.94,7.36,6.49
Kentucky,4463103.0,219741.0,755383.0,113489.0,296333.0,295527.0,21,2023,4243362.0,95.08,6.64,6.62
Louisiana,4566306.0,234352.0,799592.0,117114.0,304994.0,303558.0,22,2023,4331954.0,94.87,6.68,6.65
Maine,1365152.0,50667.0,188967.0,33307.0,75581.0,79959.0,23,2023,1314485.0,96.29,5.54,5.86
Maryland,6104094.0,292696.0,1016596.0,154402.0,367587.0,392907.0,24,2023,5811398.0,95.2,6.02,6.44
Massachusetts,6928560.0,286500.0,1018073.0,204771.0,473586.0,488135.0,25,2023,6642060.0,95.86,6.84,7.05
Michigan,9949379.0,447325.0,1605252.0,261746.0,667604.0,662711.0,26,2023,9502054.0,95.5,6.71,6.66
Minnesota,5649466.0,274855.0,978154.0,145450.0,353417.0,367640.0,27,2023,5374611.0,95.13,6.26,6.51
Mississippi,2919753.0,145460.0,515190.0,87684.0,201121.0,185833.0,28,2023,2774293.0,95.02,6.89,6.36
Missouri,6098976.0,290710.0,1026656.0,161299.0,402879.0,403064.0,29,2023,5808266.0,95.23,6.61,6.61
Montana,1093542.0,47302.0,176110.0,26733.0,73062.0,70383.0,30,2023,1046240.0,95.67,6.68,6.44
Nebraska,1942272.0,103351.0,357745.0,54631.0,136289.0,127463.0,31,2023,1838921.0,94.68,7.02,6.56
Nevada,3108859.0,144816.0,515914.0,68879.0,183169.0,219885.0,32,2023,2964043.0,95.34,5.89,7.07
New Hampshire,1376951.0,52322.0,193701.0,36182.0,85524.0,85473.0,33,2023,1324629.0,96.2,6.21,6.21
New Jersey,9173991.0,433377.0,1504922.0,221994.0,554478.0,580685.0,34,2023,8740614.0,95.28,6.04,6.33
New Mexico,2093563.0,91744.0,353668.0,57357.0,139795.0,138501.0,35,2023,2001819.0,95.62,6.68,6.62
New York,19658209.0,888851.0,3006316.0,509830.0,1257074.0,1401629.0,36,2023,18769358.0,95.48,6.39,7.13
North Carolina,10474040.0,488013.0,1724510.0,294431.0,705276.0,702639.0,37,2023,9986027.0,95.34,6.73,6.71
North Dakota,769225.0,41236.0,133420.0,23877.0,61543.0,56006.0,38,2023,727989.0,94.64,8.0,7.28
Ohio,11651784.0,547354.0,1934563.0,304573.0,741950.0,770400.0,39,2023,11104430.0,95.3,6.37,6.61
Oklahoma,3950612.0,202998.0,715737.0,111196.0,279356.0,267635.0,40,2023,3747614.0,94.86,7.07,6.77
Oregon,4200284.0,174055.0,643809.0,101124.0,260286.0,286633.0,41,2023,4026229.0,95.86,6.2,6.82
Pennsylvania,12856324.0,555185.0,1988432.0,359894.0,799667.0,821251.0,42,2023,12301139.0,95.68,6.22,6.39
Rhode Island,1085819.0,44261.0,154667.0,35031.0,75355.0,73945.0,44,2023,1041558.0,95.92,6.94,6.81
South Carolina,5159595.0,234689.0,839194.0,143470.0,331868.0,329746.0,45,2023,4924906.0,95.45,6.43,6.39
South Dakota,887708.0,46635.0,161699.0,24173.0,59064.0,55910.0,46,2023,841073.0,94.75,6.65,6.3
Tennessee,6903940.0,327533.0,1148331.0,171324.0,451219.0,483233.0,47,2023,6576407.0,95.26,6.54,7.0
Texas,29290245.0,1578144.0,5554288.0,831093.0,2032089.0,2116618.0,48,2023,27712101.0,94.61,6.94,7.23
Utah,3287224.0,194183.0,705986.0,105433.0,278538.0,254509.0,49,2023,3093041.0,94.09,8.47,7.74
Vermont,640005.0,22804.0,89124.0,21198.0,43883.0,38175.0,50,2023,617201.0,96.44,6.86,5.96
Virginia,8567540.0,405322.0,1398704.0,239936.0,564663.0,576542.0,51,2023,8162218.0,95.27,6.59,6.73
Washington,7660713.0,357162.0,1238465.0,178152.0,477787.0,566940.0,53,2023,7303551.0,95.34,6.24,7.4
West Virginia,1764770.0,69616.0,270103.0,45499.0,110350.0,106272.0,54,2023,1695154.0,96.06,6.25,6.02
Wisconsin,5835052.0,263480.0,953859.0,156696.0,391434.0,369340.0,55,2023,5571572.0,95.48,6.71,6.33
Wyoming,573735.0,25922.0,100411.0,14934.0,36964.0,35827.0,56,2023,547813.0,95.48,6.44,6.24
Puerto Rico,,,,,,,72,2023,,,,
