NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Alabama,4655013.0,245021.0,829644.0,142038.0,330178.0,307389.0,01,2010,4409992.0,94.74,7.09,6.6
Alaska,679768.0,39939.0,133787.0,21038.0,55025.0,50386.0,02,2010,639829.0,94.12,8.09,7.41
Arizona,6156517.0,372761.0,1150441.0,182792.0,432885.0,446664.0,04,2010,5783756.0,93.95,7.03,7.26
Arkansas,2835952.0,158754.0,510775.0,84732.0,196084.0,192465.0,05,2010,2677198.0,94.4,6.91,6.79
California,36150852.0,2058627.0,6780264.0,1115527.0,2698489.0,2715099.0,06,2010,34092225.0,94.31,7.46,7.51
Colorado,4820110.0,273047.0,862532.0,138447.0,344945.0,357181.0,08,2010,4547063.0,94.34,7.16,7.41
Connecticut,3507771.0,167413.0,622044.0,98750.0,221281.0,205114.0,09,2010,3340358.0,95.23,6.31,5.85
Delaware,871108.0,45840.0,149259.0,27070.0,61036.0,57849.0,10,2010,825268.0,94.74,7.01,6.64
District of Columbia,576877.0,24899.0,70668.0,25797.0,56056.0,62518.0,11,2010,551978.0,95.68,9.72,10.84
Florida,18301229.0,870115.0,2932584.0,501837.0,1208222.0,1158580.0,12,2010,17431114.0,95.25,6.6,6.33
Georgia,9336301.0,556007.0,1773957.0,292875.0,661052.0,667328.0,13,2010,8780294.0,94.04,7.08,7.15
Hawaii,1316752.0,69742.0,214147.0,33618.0,95435.0,95699.0,15,2010,1247010.0,94.7,7.25,7.27
Idaho,1503537.0,95906.0,300046.0,46042.0,108913.0,104313.0,16,2010,1407631.0,93.62,7.24,6.94
Illinois,12581313.0,681072.0,2308341.0,371363.0,874555.0,902704.0,17,2010,11900241.0,94.59,6.95,7.17
Indiana,6332977.0,349783.0,1172867.0,195681.0,449029.0,420040.0,18,2010,5983194.0,94.48,7.09,6.63
Iowa,2977069.0,158748.0,526045.0,91917.0,215347.0,190121.0,19,2010,2818321.0,94.67,7.23,6.39
Kansas,2769373.0,159244.0,516341.0,85388.0,205496.0,187368.0,20,2010,2610129.0,94.25,7.42,6.77
Kentucky,4230789.0,223262.0,741612.0,121688.0,288226.0,284147.0,21,2010,4007527.0,94.72,6.81,6.72
Louisiana,4370847.0,245847.0,800177.0,135642.0,332825.0,318009.0,22,2010,4125000.0,94.38,7.61,7.28
Maine,1313667.0,55867.0,211622.0,36991.0,79886.0,71908.0,23,2010,1257800.0,95.75,6.08,5.47
Maryland,5623191.0,291861.0,996999.0,162789.0,381611.0,383432.0,24,2010,5331330.0,94.81,6.79,6.82
Massachusetts,6407609.0,298839.0,1063622.0,203088.0,459682.0,427758.0,25,2010,6108770.0,95.34,7.17,6.68
Michigan,9833604.0,495399.0,1806492.0,306943.0,662927.0,602222.0,26,2010,9338205.0,94.96,6.74,6.12
Minnesota,5172821.0,283517.0,929468.0,149294.0,359543.0,361155.0,27,2010,4889304.0,94.52,6.95,6.98
Mississippi,2901139.0,167639.0,548884.0,94212.0,213685.0,196341.0,28,2010,2733500.0,94.22,7.37,6.77
Missouri,5847663.0,312126.0,1041075.0,175580.0,412017.0,394263.0,29,2010,5535537.0,94.66,7.05,6.74
Montana,961686.0,47669.0,163317.0,28258.0,68318.0,60508.0,30,2010,914017.0,95.04,7.1,6.29
Nebraska,1772938.0,103223.0,323921.0,53204.0,131706.0,121340.0,31,2010,1669715.0,94.18,7.43,6.84
Nevada,2596293.0,151557.0,468517.0,67187.0,175268.0,195799.0,32,2010,2444736.0,94.16,6.75,7.54
New Hampshire,1301358.0,59716.0,223655.0,39394.0,83194.0,71008.0,33,2010,1241642.0,95.41,6.39,5.46
New Jersey,8618245.0,443818.0,1534390.0,224260.0,526258.0,546126.0,34,2010,8174427.0,94.85,6.11,6.34
New Mexico,1985281.0,115459.0,369173.0,60772.0,143250.0,136046.0,35,2010,1869822.0,94.18,7.22,6.85
New York,19002070.0,930983.0,3224932.0,565432.0,1366287.0,1355046.0,36,2010,18071087.0,95.1,7.19,7.13
North Carolina,9149364.0,500057.0,1616339.0,271415.0,639942.0,604495.0,37,2010,8649307.0,94.53,6.99,6.61
North Dakota,651523.0,33457.0,105928.0,22727.0,60078.0,44694.0,38,2010,618066.0,94.86,9.22,6.86
Ohio,11372638.0,584872.0,2041608.0,336268.0,753896.0,734772.0,39,2010,10787766.0,94.86,6.63,6.46
Oklahoma,3626181.0,207466.0,656397.0,110719.0,270780.0,253973.0,40,2010,3418715.0,94.28,7.47,7.0
Oregon,3715857.0,188133.0,629438.0,103152.0,251983.0,258848.0,41,2010,3527724.0,94.94,6.78,6.97
