NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Alabama,4941984.0,239941.0,826749.0,134591.0,326900.0,331435.0,01,2021,4702043.0,95.14,6.61,6.71
Alaska,726379.0,41219.0,131943.0,18055.0,50780.0,59218.0,02,2021,685160.0,94.33,6.99,8.15
Arizona,7006531.0,339934.0,1201829.0,194905.0,477856.0,496623.0,04,2021,6666597.0,95.15,6.82,7.09
Arkansas,2972264.0,150535.0,521205.0,81221.0,198013.0,197068.0,05,2021,2821729.0,94.94,6.66,6.63
California,39041824.0,1936806.0,6642097.0,1039002.0,2626849.0,2992210.0,06,2021,37105018.0,95.04,6.73,7.66
Colorado,5665902.0,266972.0,938489.0,149414.0,373987.0,442444.0,08,2021,5398930.0,95.29,6.6,7.81
Connecticut,3572090.0,148882.0,562369.0,104332.0,241370.0,221715.0,09,2021,3423208.0,95.83,6.76,6.21
Delaware,973108.0,45450.0,153411.0,25746.0,57883.0,64150.0,10,2021,927658.0,95.33,5.95,6.59
District of Columbia,675095.0,34899.0,82064.0,21095.0,49311.0,77357.0,11,2021,640196.0,94.83,7.3,11.46
Florida,21133831.0,912863.0,3142519.0,484680.0,1244479.0,1370531.0,12,2021,20220968.0,95.68,5.89,6.49
Georgia,10509834.0,527937.0,1888479.0,304996.0,712566.0,743331.0,13,2021,9981897.0,94.98,6.78,7.07
Hawaii,1435962.0,70231.0,223253.0,31249.0,90807.0,101516.0,15,2021,1365731.0,95.11,6.32,7.07
Idaho,1790148.0,93500.0,343861.0,49290.0,118300.0,118378.0,16,2021,1696648.0,94.78,6.61,6.61
Illinois,12683449.0,607317.0,2141670.0,336123.0,833461.0,880487.0,17,2021,12076132.0,95.21,6.57,6.94
Indiana,6676820.0,341022.0,1176545.0,193144.0,464895.0,449725.0,18,2021,6335798.0,94.89,6.96,6.74
Iowa,3143647.0,159127.0,547605.0,92024.0,225007.0,200150.0,19,2021,2984520.0,94.94,7.16,6.37
Kansas,2898470.0,151647.0,528875.0,84174.0,211823.0,190527.0,20,2021,2746823.0,94.77,7.31,6.57
Kentucky,4445549.0,222267.0,751050.0,120062.0,298606.0,299736.0,21,2021,4223282.0,95.0,6.72,6.74
Louisiana,4602244.0,242298.0,803724.0,116659.0,305708.0,324051.0,22,2021,4359946.0,94.74,6.64,7.04
Maine,1344388.0,51274.0,190653.0,32786.0,74775.0,79663.0,23,2021,1293114.0,96.19,5.56,5.93
Maryland,6083016.0,297937.0,1009683.0,158558.0,376043.0,406858.0,24,2021,5785079.0,95.1,6.18,6.69
Massachusetts,6925117.0,291208.0,1031781.0,212605.0,486655.0,498204.0,25,2021,6633909.0,95.79,7.03,7.19
Michigan,9957057.0,459362.0,1624039.0,267800.0,682724.0,676297.0,26,2021,9497695.0,95.39,6.86,6.79
Minnesota,5605084.0,283080.0,975101.0,144593.0,354809.0,371245.0,27,2021,5322004.0,94.95,6.33,6.62
Mississippi,2934901.0,150024.0,523908.0,87530.0,199334.0,195971.0,28,2021,2784877.0,94.89,6.79,6.68
Missouri,6070203.0,295801.0,1025243.0,160698.0,400642.0,411737.0,29,2021,5774402.0,95.13,6.6,6.78
Montana,1066921.0,49309.0,172449.0,26896.0,71805.0,70213.0,30,2021,1017612.0,95.38,6.73,6.58
Nebraska,1927528.0,106448.0,355510.0,55302.0,134953.0,127489.0,31,2021,1821080.0,94.48,7.0,6.61
Nevada,3026914.0,149105.0,512601.0,67793.0,180697.0,220773.0,32,2021,2877809.0,95.07,5.97,7.29
New Hampshire,1361045.0,52379.0,197106.0,38982.0,86472.0,85052.0,33,2021,1308666.0,96.15,6.35,6.25
New Jersey,9139062.0,435414.0,1510066.0,222819.0,559157.0,584584.0,34,2021,8703648.0,95.24,6.12,6.4
New Mexico,2087618.0,98968.0,364610.0,57224.0,140177.0,141297.0,35,2021,1988650.0,95.26,6.71,6.77
New York,19896340.0,935971.0,3063020.0,518580.0,1297689.0,1465454.0,36,2021,18960369.0,95.3,6.52,7.37
North Carolina,10258736.0,485718.0,1708311.0,293344.0,686487.0,701087.0,37,2021,9773018.0,95.27,6.69,6.83
North Dakota,762413.0,42486.0,131041.0,22594.0,62395.0,58846.0,38,2021,719927.0,94.43,8.18,7.72
