NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,4876863,769819,01,2021,15.79
Alaska,719086,75016,02,2021,10.43
Arizona,6926281,934911,04,2021,13.5
Arkansas,2923735,468113,05,2021,16.01
California,38701352,4741175,06,2021,12.25
Colorado,5605422,535976,08,2021,9.56
Connecticut,3503694,351476,09,2021,10.03
Delaware,955602,109274,10,2021,11.44
District of Columbia,651618,100618,11,2021,15.44
Florida,20928219,2744612,12,2021,13.11
Georgia,10356895,1441351,13,2021,13.92
Hawaii,1414718,133740,15,2021,9.45
Idaho,1780875,202560,16,2021,11.37
Illinois,12529291,1483378,17,2021,11.84
Indiana,6550921,819005,18,2021,12.5
Iowa,3084598,339695,19,2021,11.01
Kansas,2850702,327209,20,2021,11.48
Kentucky,4359181,709140,21,2021,16.27
Louisiana,4531545,850486,22,2021,18.77
Maine,1321489,145992,23,2021,11.05
Maryland,6006777,550074,24,2021,9.16
Massachusetts,6756217,668780,25,2021,9.9
Michigan,9850305,1310058,26,2021,13.3
Minnesota,5550433,512312,27,2021,9.23
Mississippi,2874132,557111,28,2021,19.38
Missouri,5967909,762023,29,2021,12.77
Montana,1053304,131512,30,2021,12.49
Nebraska,1899516,195455,31,2021,10.29
Nevada,3018139,388814,32,2021,12.88
New Hampshire,1330682,98429,33,2021,7.4
New Jersey,9058493,883896,34,2021,9.76
New Mexico,2067620,378896,35,2021,18.33
New York,19604130,2636823,36,2021,13.45
North Carolina,10092759,1379672,37,2021,13.67
North Dakota,749693,80390,38,2021,10.72
Ohio,11451346,1528963,39,2021,13.35
Oklahoma,3837807,583853,40,2021,15.21
Oregon,4128333,498517,41,2021,12.08
Pennsylvania,12568252,1482811,42,2021,11.8
Rhode Island,1050314,118257,44,2021,11.26
South Carolina,4946116,718345,45,2021,14.52
South Dakota,853175,106291,46,2021,12.46
Tennessee,6692912,955929,47,2021,14.28
Texas,28260264,3965117,48,2021,14.03
Utah,3182692,278486,49,2021,8.75
Vermont,617101,64962,50,2021,10.53
Virginia,8337068,828664,51,2021,9.94
Washington,7478757,746904,53,2021,9.99
West Virginia,1751049,295632,54,2021,16.88
Wisconsin,5726939,610632,55,2021,10.66
Wyoming,563382,60482,56,2021,10.74
Puerto Rico,3283051,1400997,72,2021,42.67
