NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,2860440,617805,28,2011,21.6
Missouri,5777117,828615,29,2011,14.34
Montana,958682,139904,30,2011,14.59
Nebraska,1758705,211752,31,2011,12.04
Nevada,2634630,340903,32,2011,12.94
New Hampshire,1275969,101634,33,2011,7.97
New Jersey,8577556,805170,34,2011,9.39
New Mexico,1994808,378301,35,2011,18.96
New York,18787162,2722107,36,2011,14.49
North Carolina,9162147,1473556,37,2011,16.08
North Dakota,643465,78888,38,2011,12.26
Ohio,11213528,1654193,39,2011,14.75
Oklahoma,3600116,586046,40,2011,16.28
Oregon,3727420,550372,41,2011,14.77
Pennsylvania,12246520,1548869,42,2011,12.65
Rhode Island,1012044,129454,44,2011,12.79
South Carolina,4433220,753705,45,2011,17.0
South Dakota,779002,107337,46,2011,13.78
Tennessee,6139176,1036199,47,2011,16.88
Texas,24173125,4120101,48,2011,17.04
Vermont,600321,67761,50,2011,11.29
Utah,2670588,304125,49,2011,11.39
Virginia,7681393,818422,51,2011,10.65
Washington,6519490,816509,53,2011,12.52
West Virginia,1794220,313363,54,2011,17.47
Wisconsin,5512715,661655,55,2011,12.0
Wyoming,541296,54900,56,2011,10.14
Puerto Rico,3700304,1676055,72,2011,45.3
Alabama,4631432,813385,01,2011,17.56
Alaska,684608,65111,02,2011,9.51
Arizona,6197190,1003575,04,2011,16.19
Arkansas,2814184,516822,05,2011,18.36
California,36211794,5211481,06,2011,14.39
Colorado,4852160,607727,08,2011,12.52
Delaware,865744,96805,10,2011,11.18
District of Columbia,560760,101833,11,2011,18.16
Connecticut,3448191,326771,09,2011,9.48
Florida,18282511,2679400,12,2011,14.66
Georgia,9336746,1541462,13,2011,16.51
Idaho,1519070,216734,16,2011,14.27
Hawaii,1311890,134387,15,2011,10.24
Illinois,12487023,1640428,17,2011,13.14
Indiana,6255949,885150,18,2011,14.15
Iowa,2932765,347536,19,2011,11.85
Kansas,2746674,347184,20,2011,12.64
Kentucky,4186093,756947,21,2011,18.08
Louisiana,4356062,800705,22,2011,18.38
Maine,1293254,165146,23,2011,12.77
Maryland,5597203,502610,24,2011,8.98
Massachusetts,6288679,673467,25,2011,10.71
Michigan,9697212,1518458,26,2011,15.66
Minnesota,5155949,565154,27,2011,10.96
