NAME,total_population,below_poverty_level,state,year,poverty_rate
Pennsylvania,12387061,1480430,42,2020,11.95
California,38589882,4853434,06,2020,12.58
West Virginia,1755591,300152,54,2020,17.1
Utah,3102049,283360,49,2020,9.13
New York,19009098,2581048,36,2020,13.58
District of Columbia,669089,103391,11,2020,15.45
Alaska,719445,74369,02,2020,10.34
Florida,20793628,2772939,12,2020,13.34
South Carolina,4950181,726470,45,2020,14.68
North Dakota,735842,77491,38,2020,10.53
Maine,1304038,144384,23,2020,11.07
Georgia,10238369,1461572,13,2020,14.28
Alabama,4771614,762642,01,2020,15.98
New Hampshire,1312770,97418,33,2020,7.42
Oregon,4096744,506558,41,2020,12.36
Wyoming,566858,61006,56,2020,10.76
Arizona,7012999,990528,04,2020,14.12
Louisiana,4532187,845230,22,2020,18.65
Indiana,6491632,838149,18,2020,12.91
Idaho,1722972,205676,16,2020,11.94
Connecticut,3466935,339156,09,2020,9.78
Hawaii,1381577,127971,15,2020,9.26
Illinois,12418504,1488670,17,2020,11.99
Massachusetts,6637329,653454,25,2020,9.85
Texas,28013446,3984260,48,2020,14.22
Montana,1036490,132476,30,2020,12.78
Nebraska,1869467,193820,31,2020,10.37
Ohio,11350378,1546011,39,2020,13.62
Colorado,5563823,544232,08,2020,9.78
New Jersey,8713792,842704,34,2020,9.67
Maryland,5894835,531553,24,2020,9.02
Virginia,8255575,826708,51,2020,10.01
Vermont,599938,64700,50,2020,10.78
North Carolina,10098330,1411939,37,2020,13.98
Arkansas,2923585,470190,05,2020,16.08
Washington,7372433,751044,53,2020,10.19
Kansas,2828498,323644,20,2020,11.44
Oklahoma,3833712,585520,40,2020,15.27
Wisconsin,5659485,620947,55,2020,10.97
Mississippi,2883074,564439,28,2020,19.58
Missouri,5942813,772992,29,2020,13.01
Michigan,9753541,1337256,26,2020,13.71
Rhode Island,1017028,117785,44,2020,11.58
Minnesota,5476956,511185,27,2020,9.33
Iowa,3051284,339090,19,2020,11.11
New Mexico,2053909,381026,35,2020,18.55
Nevada,2987817,381695,32,2020,12.78
Delaware,941266,107641,10,2020,11.44
Puerto Rico,3227457,1400958,72,2020,43.41
Kentucky,4322881,717895,21,2020,16.61
South Dakota,849910,108863,46,2020,12.81
Tennessee,6603468,965213,47,2020,14.62
