NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,2890123,620007,28,2017,21.45
Missouri,5891760,861679,29,2017,14.63
Montana,1004612,144198,30,2017,14.35
Nebraska,1839825,220330,31,2017,11.98
Nevada,2846365,405263,32,2017,14.24
New Hampshire,1289255,104470,33,2017,8.1
New Jersey,8783989,938252,34,2017,10.68
New Mexico,2043896,420293,35,2017,20.56
Alabama,4729116,849699,01,2017,17.97
Alaska,719983,73380,02,2017,10.19
Arizona,6654096,1128046,04,2017,16.95
Arkansas,2890095,524211,05,2017,18.14
California,38242946,5773408,06,2017,15.1
New York,19285448,2908471,36,2017,15.08
North Carolina,9783738,1579871,37,2017,16.15
North Dakota,719722,79374,38,2017,11.03
Ohio,11289161,1683890,39,2017,14.92
Oklahoma,3780828,612714,40,2017,16.21
Oregon,3947954,587248,41,2017,14.87
Pennsylvania,12377251,1623537,42,2017,13.12
Rhode Island,1015923,136126,44,2017,13.4
South Carolina,4751345,790657,45,2017,16.64
South Dakota,826297,114885,46,2017,13.9
Tennessee,6436601,1072360,47,2017,16.66
Texas,26794198,4291384,48,2017,16.02
Vermont,600127,68144,50,2017,11.35
Utah,2946717,324856,49,2017,11.02
Virginia,8116130,906838,51,2017,11.17
Washington,7037413,859950,53,2017,12.22
West Virginia,1784004,317089,54,2017,17.77
Wisconsin,5612611,692719,55,2017,12.34
Wyoming,569412,63398,56,2017,11.13
Puerto Rico,3437079,1543220,72,2017,44.9
Delaware,918100,111304,10,2017,12.12
District of Columbia,638362,111025,11,2017,17.39
Connecticut,3486033,350783,09,2017,10.06
Florida,19858469,3070972,12,2017,15.46
Georgia,9931935,1679030,13,2017,16.91
Idaho,1626557,236000,16,2017,14.51
Hawaii,1383246,143148,15,2017,10.35
Illinois,12551822,1698613,17,2017,13.53
Indiana,6412384,933540,18,2017,14.56
Iowa,3016358,361343,19,2017,11.98
Kansas,2820265,361285,20,2017,12.81
Kentucky,4287887,783586,21,2017,18.27
Louisiana,4531570,887574,22,2017,19.59
Maine,1294998,166904,23,2017,12.89
Maryland,5856088,566966,24,2017,9.68
Massachusetts,6552347,727546,25,2017,11.1
Michigan,9698121,1510841,26,2017,15.58
Minnesota,5366210,560995,27,2017,10.45
Colorado,5316870,612143,08,2017,11.51
