NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,4754288,795989,01,2019,16.74
Alaska,719376,76933,02,2019,10.69
Arizona,6891224,1043764,04,2019,15.15
Arkansas,2910954,496260,05,2019,17.05
California,38535926,5149742,06,2019,13.36
Colorado,5489133,565873,08,2019,10.31
Delaware,930764,109400,10,2019,11.75
District of Columbia,659676,107140,11,2019,16.24
Connecticut,3470087,344146,09,2019,9.92
Florida,20481252,2870487,12,2019,14.02
Georgia,10130335,1528558,13,2019,15.09
Idaho,1686285,221256,16,2019,13.12
Hawaii,1384184,130649,15,2019,9.44
Illinois,12474842,1557873,17,2019,12.49
Indiana,6461389,867996,18,2019,13.43
Iowa,3040184,348122,19,2019,11.45
Kansas,2826056,337739,20,2019,11.95
Kentucky,4309501,747010,21,2019,17.33
Louisiana,4532714,871467,22,2019,19.23
Maine,1298787,153131,23,2019,11.79
Maryland,5876434,539991,24,2019,9.19
Massachusetts,6615375,680962,25,2019,10.29
Michigan,9741628,1398527,26,2019,14.36
Minnesota,5440087,526065,27,2019,9.67
Mississippi,2886767,585786,28,2019,20.29
Missouri,5922570,810045,29,2019,13.68
Montana,1025221,134605,30,2019,13.13
Nebraska,1859691,206579,31,2019,11.11
Nevada,2929882,384690,32,2019,13.13
New Hampshire,1305013,98682,33,2019,7.56
New Jersey,8706202,869081,34,2019,9.98
New Mexico,2049986,392065,35,2019,19.13
New York,19063180,2681277,36,2019,14.07
North Carolina,9984891,1467591,37,2019,14.7
North Dakota,732326,78198,38,2019,10.68
Ohio,11331030,1588343,39,2019,14.02
Oklahoma,3817368,598373,40,2019,15.68
Oregon,4052019,533527,41,2019,13.17
Pennsylvania,12380284,1539183,42,2019,12.43
Rhode Island,1016506,125826,44,2019,12.38
South Carolina,4877884,741650,45,2019,15.2
South Dakota,841207,110553,46,2019,13.14
Tennessee,6542792,996930,47,2019,15.24
Texas,27637858,4072194,48,2019,14.73
Vermont,599618,65652,50,2019,10.95
Utah,3048871,298537,49,2019,9.79
Virginia,8201608,865691,51,2019,10.56
Washington,7266810,785244,53,2019,10.81
West Virginia,1765715,310044,54,2019,17.56
Wisconsin,5642353,639160,55,2019,11.33
Wyoming,566918,62257,56,2019,10.98
Puerto Rico,3289522,1449091,72,2019,44.05
