NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,4682976,870631,01,2013,18.59
Alaska,704041,69514,02,2013,9.87
Arizona,6333791,1131901,04,2013,17.87
Arkansas,2849641,547328,05,2013,19.21
California,36913404,5885417,06,2013,15.94
Colorado,5002589,660874,08,2013,13.21
Delaware,883004,103633,10,2013,11.74
District of Columbia,585525,109200,11,2013,18.65
Connecticut,3473255,354348,09,2013,10.2
Florida,18681565,3052807,12,2013,16.34
Georgia,9542869,1736680,13,2013,18.2
Idaho,1552767,240298,16,2013,15.48
Hawaii,1340061,149531,15,2013,11.16
Illinois,12547066,1772333,17,2013,14.13
Indiana,6317159,969881,18,2013,15.35
Iowa,2963129,367414,19,2013,12.4
Kansas,2784505,382820,20,2013,13.75
Kentucky,4230912,796202,21,2013,18.82
Louisiana,4438263,846780,22,2013,19.08
Maine,1293306,175624,23,2013,13.58
Maryland,5693236,558329,24,2013,9.81
Massachusetts,6375042,725351,25,2013,11.38
Michigan,9665127,1625982,26,2013,16.82
Minnesota,5223936,598391,27,2013,11.45
Mississippi,2880870,653321,28,2013,22.68
Missouri,5826484,900929,29,2013,15.46
Montana,974000,148528,30,2013,15.25
Nebraska,1787452,228789,31,2013,12.8
Nevada,2690659,403314,32,2013,14.99
New Hampshire,1278502,110859,33,2013,8.67
New Jersey,8657485,900583,34,2013,10.4
New Mexico,2028611,413801,35,2013,20.4
New York,18975362,2903982,36,2013,15.3
North Carolina,9396989,1643389,37,2013,17.49
North Dakota,665576,79433,38,2013,11.93
Ohio,11230706,1773853,39,2013,15.79
Oklahoma,3671393,618683,40,2013,16.85
Oregon,3793058,614778,41,2013,16.21
Pennsylvania,12318805,1638820,42,2013,13.3
Rhode Island,1010872,137244,44,2013,13.58
South Carolina,4537414,820308,45,2013,18.08
South Dakota,796095,112086,46,2013,14.08
Tennessee,6242898,1101732,47,2013,17.65
Texas,25032531,4416829,48,2013,17.64
Vermont,601245,70873,50,2013,11.79
Utah,2766509,350205,49,2013,12.66
Virginia,7854136,887595,51,2013,11.3
Washington,6686172,893211,53,2013,13.36
West Virginia,1800278,321546,54,2013,17.86
Wisconsin,5554566,723730,55,2013,13.03
Wyoming,556239,63743,56,2013,11.46
Puerto Rico,3647810,1644128,72,2013,45.07
