NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,4913932,768185,01,2023,15.63
Alaska,716703,72978,02,2023,10.18
Arizona,7109159,907125,04,2023,12.76
Arkansas,2944742,471783,05,2023,16.02
California,38529452,4610600,06,2023,11.97
Colorado,5693064,534188,08,2023,9.38
Connecticut,3510193,351948,09,2023,10.03
Delaware,981264,105246,10,2023,10.73
District of Columbia,647874,94140,11,2023,14.53
Florida,21459978,2707698,12,2023,12.62
Georgia,10560625,1423159,13,2023,13.48
Hawaii,1409460,140461,15,2023,9.97
Idaho,1843325,196060,16,2023,10.64
Illinois,12410718,1454217,17,2023,11.72
Indiana,6616834,807582,18,2023,12.2
Iowa,3096878,340362,19,2023,10.99
Kansas,2850379,328475,20,2023,11.52
Kentucky,4382816,707480,21,2023,16.14
Louisiana,4494539,848769,22,2023,18.88
Maine,1338071,144263,23,2023,10.78
Maryland,6042502,564966,24,2023,9.35
Massachusetts,6777241,676516,25,2023,9.98
Michigan,9842260,1284470,26,2023,13.05
Minnesota,5591806,514300,27,2023,9.2
Mississippi,2851847,543697,28,2023,19.06
Missouri,5994199,756528,29,2023,12.62
Montana,1079200,129998,30,2023,12.05
Nebraska,1916409,197300,31,2023,10.3
Nevada,3100449,390414,32,2023,12.59
New Hampshire,1347951,96457,33,2023,7.16
New Jersey,9101339,889287,34,2023,9.77
New Mexico,2073857,375381,35,2023,18.1
New York,19391750,2656674,36,2023,13.7
North Carolina,10297193,1355827,37,2023,13.17
North Dakota,752523,79628,38,2023,10.58
Ohio,11478861,1519610,39,2023,13.24
Oklahoma,3872738,593820,40,2023,15.33
Oregon,4159818,494736,41,2023,11.89
Pennsylvania,12575248,1480981,42,2023,11.78
Rhode Island,1053498,114890,44,2023,10.91
South Carolina,5072217,719720,45,2023,14.19
South Dakota,869964,104511,46,2023,12.01
Tennessee,6825291,940092,47,2023,13.77
Texas,29016925,4005417,48,2023,13.8
Utah,3278204,280516,49,2023,8.56
Vermont,622390,63902,50,2023,10.27
Virginia,8413302,834866,51,2023,9.92
Washington,7606327,753455,53,2023,9.91
West Virginia,1728580,287660,54,2023,16.64
Wisconsin,5757334,609003,55,2023,10.58
Wyoming,565918,60704,56,2023,10.73
Puerto Rico,3226312,1340637,72,2023,41.55
