NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,4662094,842292,01,2012,18.07
Alaska,694795,66631,02,2012,9.59
Arizona,6267024,1074986,04,2012,17.15
Arkansas,2833046,530309,05,2012,18.72
California,36575460,5590100,06,2012,15.28
Colorado,4927283,633878,08,2012,12.86
Delaware,874954,100655,10,2012,11.5
District of Columbia,572108,105606,11,2012,18.46
Connecticut,3463192,344616,09,2012,9.95
Florida,18479273,2887151,12,2012,15.62
Georgia,9448393,1645272,13,2012,17.41
Idaho,1537058,231604,16,2012,15.07
Hawaii,1326949,143001,15,2012,10.78
Illinois,12522726,1710465,17,2012,13.66
Indiana,6287582,927123,18,2012,14.75
Iowa,2948498,360670,19,2012,12.23
Kansas,2767281,365656,20,2012,13.21
Kentucky,4209861,781485,21,2012,18.56
Louisiana,4400761,821224,22,2012,18.66
Maine,1293465,171644,23,2012,13.27
Maryland,5645390,532116,24,2012,9.43
Massachusetts,6333378,698286,25,2012,11.03
Michigan,9676703,1582022,26,2012,16.35
Minnesota,5191097,582335,27,2012,11.22
Mississippi,2872106,640132,28,2012,22.29
Missouri,5802726,869036,29,2012,14.98
Montana,966486,143119,30,2012,14.81
Nebraska,1772893,220244,31,2012,12.42
Nevada,2665094,379197,32,2012,14.23
New Hampshire,1277667,107800,33,2012,8.44
New Jersey,8619763,850559,34,2012,9.87
New Mexico,2013777,393139,35,2012,19.52
New York,18885925,2814409,36,2012,14.9
North Carolina,9289467,1563464,37,2012,16.83
North Dakota,652525,78930,38,2012,12.1
Ohio,11222568,1723485,39,2012,15.36
Oklahoma,3634666,602598,40,2012,16.58
Oregon,3762697,584059,41,2012,15.52
Pennsylvania,12289177,1604464,42,2012,13.06
Rhode Island,1011137,133462,44,2012,13.2
South Carolina,4488442,787788,45,2012,17.55
South Dakota,786956,108319,46,2012,13.76
Tennessee,6194236,1069017,47,2012,17.26
Texas,24607114,4270218,48,2012,17.35
Vermont,600711,69411,50,2012,11.55
Utah,2720557,329564,49,2012,12.11
Virginia,7769128,859032,51,2012,11.06
Washington,6606382,853960,53,2012,12.93
West Virginia,1798265,316526,54,2012,17.6
Wisconsin,5535525,690832,55,2012,12.48
Wyoming,549049,60636,56,2012,11.04
Puerto Rico,3679691,1658412,72,2012,45.07
