NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,4596836,786544,01,2010,17.11
Alaska,674801,64245,02,2010,9.52
Arizona,6110304,933113,04,2010,15.27
Arkansas,2790794,502684,05,2010,18.01
California,35877036,4919945,06,2010,13.71
Colorado,4773303,584184,08,2010,12.24
Connecticut,3434901,314306,09,2010,9.15
Delaware,856004,93857,10,2010,10.96
District of Columbia,551331,101767,11,2010,18.46
Florida,18107049,2502365,12,2010,13.82
Georgia,9204793,1445752,13,2010,15.71
Hawaii,1298918,124627,15,2010,9.59
Idaho,1496581,203177,16,2010,13.58
Illinois,12439981,1572048,17,2010,12.64
Indiana,6219801,842540,18,2010,13.55
Iowa,2916252,338263,19,2010,11.6
Kansas,2725175,338792,20,2010,12.43
Kentucky,4157077,735782,21,2010,17.7
Louisiana,4302475,780359,22,2010,18.14
Maine,1291988,162358,23,2010,12.57
Maryland,5557115,476732,24,2010,8.58
Massachusetts,6253462,658391,25,2010,10.53
Michigan,9726785,1444004,26,2010,14.85
Minnesota,5119104,542133,27,2010,10.59
Mississippi,2845365,604272,28,2010,21.24
Missouri,5744590,802596,29,2010,13.97
Montana,949414,138109,30,2010,14.55
Nebraska,1744704,206227,31,2010,11.82
Nevada,2594953,308426,32,2010,11.89
New Hampshire,1273957,99527,33,2010,7.81
New Jersey,8544303,777968,34,2010,9.11
New Mexico,1970838,361771,35,2010,18.36
New York,18710113,2650166,36,2010,14.16
North Carolina,9013443,1399945,37,2010,15.53
North Dakota,636048,78405,38,2010,12.33
Ohio,11199642,1586292,39,2010,14.16
Oklahoma,3559437,577247,40,2010,16.22
Oregon,3688745,516271,41,2010,14.0
Pennsylvania,12199544,1509858,42,2010,12.38
Rhode Island,1014029,123396,44,2010,12.17
South Carolina,4369147,716537,45,2010,16.4
South Dakota,771100,105819,46,2010,13.72
Tennessee,6075066,1002467,47,2010,16.5
Texas,23707679,3972054,48,2010,16.75
Utah,2613440,283536,49,2010,10.85
Vermont,600114,66726,50,2010,11.12
Virginia,7595386,781516,51,2010,10.29
Washington,6430231,780009,53,2010,12.13
West Virginia,1789092,310495,54,2010,17.35
Wisconsin,5486658,637613,55,2010,11.62
Wyoming,532245,52297,56,2010,9.83
Puerto Rico,3714957,1680370,72,2010,45.23
