NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,4699510,889710,01,2014,18.93
Alaska,711235,71866,02,2014,10.1
Arizona,6411354,1169309,04,2014,18.24
Arkansas,2862662,549303,05,2014,19.19
California,37323127,6115244,06,2014,16.38
Colorado,5079529,663861,08,2014,13.07
Delaware,891493,107101,10,2014,12.01
District of Columbia,599620,109378,11,2014,18.24
Connecticut,3481115,364740,09,2014,10.48
Florida,18946215,3159259,12,2014,16.67
Georgia,9637418,1781388,13,2014,18.48
Idaho,1568375,244618,16,2014,15.6
Hawaii,1355375,153752,15,2014,11.34
Illinois,12566139,1810470,17,2014,14.41
Indiana,6342824,983826,18,2014,15.51
Iowa,2978240,373867,19,2014,12.55
Kansas,2799551,386062,20,2014,13.79
Kentucky,4248233,803866,21,2014,18.92
Louisiana,4470780,874638,22,2014,19.56
Maine,1293316,179878,23,2014,13.91
Maryland,5746140,573383,24,2014,9.98
Massachusetts,6424688,742784,25,2014,11.56
Michigan,9667444,1633316,26,2014,16.9
Minnesota,5260351,605761,27,2014,11.52
Mississippi,2887236,653726,28,2014,22.64
Missouri,5847086,912291,29,2014,15.6
Montana,981707,150096,30,2014,15.29
Nebraska,1801893,231762,31,2014,12.86
Nevada,2722641,423578,32,2014,15.56
New Hampshire,1280899,113374,33,2014,8.85
New Jersey,8699566,934665,34,2014,10.74
New Mexico,2039574,426116,35,2014,20.89
New York,19082682,2978521,36,2014,15.61
North Carolina,9496939,1669147,37,2014,17.58
North Dakota,679912,80865,38,2014,11.89
Ohio,11243508,1790564,39,2014,15.93
Oklahoma,3704019,625508,40,2014,16.89
Oregon,3823874,638816,41,2014,16.71
Pennsylvania,12346333,1667858,42,2014,13.51
Rhode Island,1012806,143996,44,2014,14.22
South Carolina,4586819,840141,45,2014,18.32
South Dakota,805676,114444,46,2014,14.2
Tennessee,6290532,1121344,47,2014,17.83
Texas,25478976,4500034,48,2014,17.66
Vermont,601671,72044,50,2014,11.97
Utah,2811097,358682,49,2014,12.76
Virginia,7939332,914237,51,2014,11.52
Washington,6765200,916364,53,2014,13.55
West Virginia,1799412,326225,54,2014,18.13
Wisconsin,5571083,738557,55,2014,13.26
Wyoming,561187,65271,56,2014,11.63
Puerto Rico,3604637,1630965,72,2014,45.25
