NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,2890915,651545,28,2015,22.54
Missouri,5863113,915972,29,2015,15.62
Montana,989932,150586,30,2015,15.21
Nebraska,1815585,231115,31,2015,12.73
Nevada,2759180,426337,32,2015,15.45
New Hampshire,1283292,113840,33,2015,8.87
New Jersey,8728868,944847,34,2015,10.82
New Mexico,2043677,429361,35,2015,21.01
New York,19164034,3005943,36,2015,15.69
North Carolina,9592619,1667465,37,2015,17.38
North Dakota,696195,79758,38,2015,11.46
Ohio,11258461,1775836,39,2015,15.77
Oklahoma,3734458,624043,40,2015,16.71
Oregon,3862756,636947,41,2015,16.49
Pennsylvania,12365782,1666569,42,2015,13.48
Rhode Island,1013455,144223,44,2015,14.23
South Carolina,4636314,830901,45,2015,17.92
South Dakota,814079,114907,46,2015,14.11
Tennessee,6339352,1117594,47,2015,17.63
Texas,25923852,4472451,48,2015,17.25
Vermont,601732,69233,50,2015,11.51
Utah,2855909,351601,49,2015,12.31
Virginia,8008050,921822,51,2015,11.51
Washington,6850693,908512,53,2015,13.26
West Virginia,1797793,323384,54,2015,17.99
Wisconsin,5589889,724348,55,2015,12.96
Wyoming,565647,64995,56,2015,11.49
Puerto Rico,3549931,1616117,72,2015,45.53
Alabama,4711439,887260,01,2015,18.83
Alaska,716218,72957,02,2015,10.19
Arizona,6488917,1180690,04,2015,18.2
Arkansas,2872497,553644,05,2015,19.27
California,37678735,6135142,06,2015,16.28
Colorado,5161722,653969,08,2015,12.67
Delaware,900820,108315,10,2015,12.02
District of Columbia,613291,110365,11,2015,18.0
Connecticut,3483303,366351,09,2015,10.52
Florida,19228208,3180109,12,2015,16.54
Georgia,9737146,1788947,13,2015,18.37
Idaho,1584410,245177,16,2015,15.47
Hawaii,1369085,153944,15,2015,11.24
Illinois,12571110,1801118,17,2015,14.33
Indiana,6367947,978043,18,2015,15.36
Iowa,2992774,373883,19,2015,12.49
Kansas,2810222,381353,20,2015,13.57
Kentucky,4263217,805841,21,2015,18.9
Louisiana,4494987,888280,22,2015,19.76
Maine,1293513,180278,23,2015,13.94
Maryland,5789228,576805,24,2015,9.96
Massachusetts,6471313,748905,25,2015,11.57
Michigan,9678203,1616870,26,2015,16.71
Minnesota,5295613,596662,27,2015,11.27
