NAME,total_population,below_poverty_level,state,year,poverty_rate
Alabama,4890427,768897,01,2022,15.72
Alaska,717293,75227,02,2022,10.49
Arizona,7017776,916876,04,2022,13.07
Arkansas,2931377,475729,05,2022,16.23
California,38643585,4685272,06,2022,12.12
Colorado,5653289,540105,08,2022,9.55
Connecticut,3507563,355692,09,2022,10.14
Delaware,969075,107790,10,2022,11.12
District of Columbia,649184,98039,11,2022,15.1
Florida,21171700,2725633,12,2022,12.87
Georgia,10462430,1415573,13,2022,13.53
Hawaii,1414636,135941,15,2022,9.61
Idaho,1805238,198788,16,2022,11.01
Illinois,12478664,1467893,17,2022,11.76
Indiana,6589135,810702,18,2022,12.3
Iowa,3088999,343141,19,2022,11.11
Kansas,2848334,329870,20,2022,11.58
Kentucky,4372749,704758,21,2022,16.12
Louisiana,4513793,842038,22,2022,18.65
Maine,1329454,145491,23,2022,10.94
Maryland,6034320,558567,24,2022,9.26
Massachusetts,6772292,672361,25,2022,9.93
Michigan,9845242,1293164,26,2022,13.13
Minnesota,5574039,516284,27,2022,9.26
Mississippi,2858819,548804,28,2022,19.2
Missouri,5979440,766582,29,2022,12.82
Montana,1066145,132329,30,2022,12.41
Nebraska,1908613,198466,31,2022,10.4
Nevada,3063729,389456,32,2022,12.71
New Hampshire,1340074,98162,33,2022,7.33
New Jersey,9081112,879179,34,2022,9.68
New Mexico,2070966,378651,35,2022,18.28
New York,19516967,2655662,36,2022,13.61
North Carolina,10186155,1357418,37,2022,13.33
North Dakota,750776,80810,38,2022,10.76
Ohio,11472644,1526507,39,2022,13.31
Oklahoma,3847702,585991,40,2022,15.23
Oregon,4149034,494158,41,2022,11.91
Pennsylvania,12582125,1482439,42,2022,11.78
Rhode Island,1051789,118033,44,2022,11.22
South Carolina,5002332,717849,45,2022,14.35
South Dakota,860878,105542,46,2022,12.26
Tennessee,6759549,943583,47,2022,13.96
Texas,28615931,3990326,48,2022,13.94
Utah,3231630,275188,49,2022,8.52
Vermont,620877,64739,50,2022,10.43
Virginia,8379773,836686,51,2022,9.98
Washington,7553642,747538,53,2022,9.9
West Virginia,1736883,291860,54,2022,16.8
Wisconsin,5743164,611661,55,2022,10.65
Wyoming,564105,60134,56,2022,10.66
Puerto Rico,3242916,1368360,72,2022,42.2
