NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,2893091,645553,28,2016,22.31
Missouri,5876366,897755,29,2016,15.28
Montana,998314,148677,30,2016,14.89
Nebraska,1827191,227021,31,2016,12.42
Nevada,2798543,417257,32,2016,14.91
New Hampshire,1285437,109690,33,2016,8.53
New Jersey,8739058,949341,34,2016,10.86
New Mexico,2042014,426814,35,2016,20.9
New York,19186062,2967564,36,2016,15.47
North Carolina,9685511,1631704,37,2016,16.85
North Dakota,710355,79314,38,2016,11.17
Ohio,11267500,1732839,39,2016,15.38
Oklahoma,3760050,621155,40,2016,16.52
Oregon,3905386,614223,41,2016,15.73
Pennsylvania,12369671,1647762,42,2016,13.32
Rhode Island,1013916,140161,44,2016,13.82
South Carolina,4693266,806422,45,2016,17.18
South Dakota,822334,115300,46,2016,14.02
Tennessee,6386751,1100169,47,2016,17.23
Texas,26334005,4397307,48,2016,16.7
Vermont,601538,69673,50,2016,11.58
Utah,2901465,338808,49,2016,11.68
Virginia,8060892,921664,51,2016,11.43
Washington,6939622,883256,53,2016,12.73
West Virginia,1792808,318060,54,2016,17.74
Wisconsin,5603274,713472,55,2016,12.73
Wyoming,568943,65762,56,2016,11.56
Puerto Rico,3496728,1577075,72,2016,45.1
Alabama,4720592,868666,01,2016,18.4
Alaska,719064,72826,02,2016,10.13
Arizona,6573523,1165636,04,2016,17.73
Arkansas,2881404,542431,05,2016,18.83
California,37913144,6004257,06,2016,15.84
Colorado,5241057,637938,08,2016,12.17
Delaware,908973,109448,10,2016,12.04
District of Columbia,624954,112060,11,2016,17.93
Connecticut,3479672,360464,09,2016,10.36
Florida,19514334,3139258,12,2016,16.09
Georgia,9829056,1746894,13,2016,17.77
Idaho,1604369,244585,16,2016,15.24
Hawaii,1375928,148577,15,2016,10.8
Illinois,12548538,1753731,17,2016,13.98
Indiana,6388926,957694,18,2016,14.99
Iowa,3005808,369828,19,2016,12.3
Kansas,2816191,373162,20,2016,13.25
Kentucky,4275202,804139,21,2016,18.81
Louisiana,4514625,889570,22,2016,19.7
Maine,1294446,174405,23,2016,13.47
Maryland,5819563,576835,24,2016,9.91
Massachusetts,6506029,740836,25,2016,11.39
Michigan,9683865,1575066,26,2016,16.26
Minnesota,5327019,577196,27,2016,10.84
