NAME,B03001_005E,state,year
Alabama,21688,01,2019
Alaska,7427,02,2019
Arizona,49316,04,2019
Arkansas,7446,05,2019
California,221536,06,2019
Colorado,35679,08,2019
Delaware,24543,10,2019
District of Columbia,6145,11,2019
Connecticut,291843,09,2019
Florida,1137632,12,2019
Georgia,100970,13,2019
Idaho,4793,16,2019
Hawaii,46650,15,2019
Illinois,203068,17,2019
Indiana,41626,18,2019
Iowa,7103,19,2019
Kansas,12518,20,2019
Kentucky,16039,21,2019
Louisiana,15486,22,2019
Maine,5947,23,2019
Maryland,55176,24,2019
Massachusetts,327501,25,2019
Michigan,47174,26,2019
Minnesota,15286,27,2019
Mississippi,9736,28,2019
Missouri,15429,29,2019
Montana,2443,30,2019
Nebraska,6108,31,2019
Nevada,28414,32,2019
New Hampshire,17483,33,2019
New Jersey,476373,34,2019
New Mexico,8678,35,2019
New York,1089823,36,2019
North Carolina,106247,37,2019
North Dakota,2875,38,2019
Ohio,128745,39,2019
Oklahoma,13939,40,2019
Oregon,13973,41,2019
Pennsylvania,463341,42,2019
Rhode Island,44552,44,2019
South Carolina,38644,45,2019
South Dakota,2337,46,2019
Tennessee,32134,47,2019
Texas,205087,48,2019
Vermont,2283,50,2019
Utah,11738,49,2019
Virginia,103443,51,2019
Washington,36126,53,2019
West Virginia,6991,54,2019
Wisconsin,58692,55,2019
Wyoming,1042,56,2019
Puerto Rico,3175779,72,2019
