NAME,B03001_005E,state,year
Alabama,11770,01,2011
Alaska,4973,02,2011
Arizona,30965,04,2011
Arkansas,5446,05,2011
California,183059,06,2011
Colorado,21347,08,2011
Delaware,21422,10,2011
District of Columbia,3305,11,2011
Connecticut,254563,09,2011
Florida,827544,12,2011
Georgia,69051,13,2011
Idaho,3762,16,2011
Hawaii,40319,15,2011
Illinois,178169,17,2011
Indiana,30019,18,2011
Iowa,5083,19,2011
Kansas,8848,20,2011
Kentucky,11893,21,2011
Louisiana,10845,22,2011
Maine,5142,23,2011
Maryland,41439,24,2011
Massachusetts,260144,25,2011
Michigan,36318,26,2011
Minnesota,11808,27,2011
Mississippi,5469,28,2011
Missouri,12760,29,2011
Montana,1326,30,2011
Nebraska,2870,31,2011
Nevada,20913,32,2011
New Hampshire,11021,33,2011
New Jersey,438789,34,2011
New Mexico,6984,35,2011
New York,1115555,36,2011
North Carolina,69725,37,2011
North Dakota,1017,38,2011
Ohio,92771,39,2011
Oklahoma,11280,40,2011
Oregon,9021,41,2011
Pennsylvania,368672,42,2011
Rhode Island,32436,44,2011
South Carolina,26670,45,2011
South Dakota,1380,46,2011
Tennessee,20075,47,2011
Texas,126065,48,2011
Vermont,2424,50,2011
Utah,6595,49,2011
Virginia,73427,51,2011
Washington,26346,53,2011
West Virginia,3565,54,2011
Wisconsin,42618,55,2011
Wyoming,766,56,2011
Puerto Rico,3575040,72,2011
