NAME,B03001_005E,state,year
Alabama,24592,01,2023
Alaska,7050,02,2023
Arizona,49014,04,2023
Arkansas,8902,05,2023
California,224544,06,2023
Colorado,41120,08,2023
Connecticut,294813,09,2023
Delaware,31020,10,2023
District of Columbia,5480,11,2023
Florida,1208449,12,2023
Georgia,123749,13,2023
Hawaii,48113,15,2023
Idaho,6719,16,2023
Illinois,212170,17,2023
Indiana,53283,18,2023
Iowa,9894,19,2023
Kansas,16735,20,2023
Kentucky,19011,21,2023
Louisiana,18173,22,2023
Maine,6820,23,2023
Maryland,68142,24,2023
Massachusetts,328541,25,2023
Michigan,52550,26,2023
Minnesota,17869,27,2023
Mississippi,9895,28,2023
Missouri,22782,29,2023
Montana,2633,30,2023
Nebraska,6681,31,2023
Nevada,29991,32,2023
New Hampshire,20209,33,2023
New Jersey,474542,34,2023
New Mexico,11416,35,2023
New York,1039812,36,2023
North Carolina,130892,37,2023
North Dakota,4118,38,2023
Ohio,143232,39,2023
Oklahoma,19468,40,2023
Oregon,15555,41,2023
Pennsylvania,484559,42,2023
Rhode Island,43892,44,2023
South Carolina,49768,45,2023
South Dakota,3553,46,2023
Tennessee,40114,47,2023
Texas,249182,48,2023
Utah,13562,49,2023
Vermont,3210,50,2023
Virginia,118589,51,2023
Washington,43372,53,2023
West Virginia,6198,54,2023
Wisconsin,66610,55,2023
Wyoming,1631,56,2023
Puerto Rico,3105723,72,2023
