NAME,B03001_005E,state,year
Alabama,14190,01,2013
Alaska,5733,02,2013
Arizona,35765,04,2013
Arkansas,5521,05,2013
California,197899,06,2013
Colorado,25750,08,2013
Delaware,24044,10,2013
District of Columbia,3753,11,2013
Connecticut,267798,09,2013
Florida,898953,12,2013
Georgia,81402,13,2013
Idaho,3303,16,2013
Hawaii,45811,15,2013
Illinois,190044,17,2013
Indiana,30962,18,2013
Iowa,5658,19,2013
Kansas,9857,20,2013
Kentucky,12535,21,2013
Louisiana,12045,22,2013
Maine,4646,23,2013
Maryland,43629,24,2013
Massachusetts,275679,25,2013
Michigan,40329,26,2013
Minnesota,12387,27,2013
Mississippi,7606,28,2013
Missouri,13053,29,2013
Montana,1227,30,2013
Nebraska,3803,31,2013
Nevada,22110,32,2013
New Hampshire,11870,33,2013
New Jersey,453430,34,2013
New Mexico,6976,35,2013
New York,1116244,36,2013
North Carolina,77153,37,2013
North Dakota,1132,38,2013
Ohio,99816,39,2013
Oklahoma,12384,40,2013
Oregon,9752,41,2013
Pennsylvania,394973,42,2013
Rhode Island,33051,44,2013
South Carolina,30581,45,2013
South Dakota,1571,46,2013
Tennessee,22827,47,2013
Texas,145425,48,2013
Vermont,2580,50,2013
Utah,7215,49,2013
Virginia,81649,51,2013
Washington,28060,53,2013
West Virginia,3648,54,2013
Wisconsin,49786,55,2013
Wyoming,763,56,2013
Puerto Rico,3523798,72,2013
