NAME,median_gross_rent,median_home_value,state,year
Alabama,705,122500,01,2013
Alaska,1098,241800,02,2013
Arizona,896,165100,04,2013
Arkansas,661,107300,05,2013
California,1224,366400,06,2013
Colorado,939,236200,08,2013
Delaware,999,235800,10,2013
District of Columbia,1242,445200,11,2013
Connecticut,1056,278900,09,2013
Florida,990,160200,12,2013
Georgia,860,151300,13,2013
Idaho,728,162100,16,2013
Hawaii,1380,503100,15,2013
Illinois,890,182300,17,2013
Indiana,730,122800,18,2013
Iowa,670,124300,19,2013
Kansas,732,128400,20,2013
Kentucky,655,120400,21,2013
Louisiana,773,138900,22,2013
Maine,764,174500,23,2013
Maryland,1196,292700,24,2013
Massachusetts,1069,330100,25,2013
Michigan,768,121700,26,2013
Minnesota,819,187900,27,2013
Mississippi,702,99900,28,2013
Missouri,727,137000,29,2013
Montana,682,184200,30,2013
Nebraska,706,128000,31,2013
Nevada,986,169100,32,2013
New Hampshire,987,239900,33,2013
New Jersey,1172,327100,34,2013
New Mexico,758,160000,35,2013
New York,1088,288200,36,2013
North Carolina,776,153600,37,2013
North Dakota,645,132400,38,2013
Ohio,718,130800,39,2013
Oklahoma,699,112800,40,2013
Oregon,875,238000,41,2013
Pennsylvania,813,164700,42,2013
Rhode Island,918,247400,44,2013
South Carolina,768,137400,45,2013
South Dakota,632,132400,46,2013
Tennessee,742,139200,47,2013
Texas,851,128900,48,2013
Vermont,875,216800,50,2013
Utah,856,212800,49,2013
Virginia,1087,244600,51,2013
Washington,973,262100,53,2013
West Virginia,611,98500,54,2013
Wisconsin,759,167100,55,2013
Wyoming,764,185900,56,2013
Puerto Rico,454,121200,72,2013
