NAME,median_gross_rent,median_home_value,state,year
Alabama,644,117600,01,2010
Alaska,972,229100,02,2010
Arizona,856,215000,04,2010
Arkansas,617,102300,05,2010
California,1147,458500,06,2010
Colorado,852,236600,08,2010
Connecticut,982,296500,09,2010
Delaware,938,242300,10,2010
District of Columbia,1063,443300,11,2010
Florida,957,205600,12,2010
Georgia,808,161400,13,2010
Hawaii,1260,537400,15,2010
Idaho,689,172700,16,2010
Illinois,834,202500,17,2010
Indiana,683,123000,18,2010
Iowa,617,119200,19,2010
Kansas,671,122600,20,2010
Kentucky,601,116800,21,2010
Louisiana,712,130000,22,2010
Maine,707,176200,23,2010
Maryland,1091,329400,24,2010
Massachusetts,1006,352300,25,2010
Michigan,723,144200,26,2010
Minnesota,759,206200,27,2010
Mississippi,648,96500,28,2010
Missouri,667,137700,29,2010
Montana,629,173300,30,2010
Nebraska,648,123900,31,2010
Nevada,998,254200,32,2010
New Hampshire,933,253200,33,2010
New Jersey,1092,357000,34,2010
New Mexico,683,158400,35,2010
New York,977,303900,36,2010
North Carolina,718,149100,37,2010
North Dakota,555,111300,38,2010
Ohio,678,136400,39,2010
Oklahoma,633,104300,40,2010
Oregon,795,252600,41,2010
Pennsylvania,739,159300,42,2010
Rhode Island,882,279300,44,2010
South Carolina,701,134100,45,2010
South Dakota,574,122200,46,2010
Tennessee,678,134100,47,2010
Texas,786,123500,48,2010
Utah,781,218100,49,2010
Vermont,809,208400,50,2010
Virginia,970,255100,51,2010
Washington,882,285400,53,2010
West Virginia,549,94500,54,2010
Wisconsin,713,169000,55,2010
Wyoming,666,174000,56,2010
Puerto Rico,425,112600,72,2010
