NAME,median_gross_rent,median_home_value,state,year
Pennsylvania,958,187500,42,2020
California,1586,538500,06,2020
West Virginia,732,123200,54,2020
Utah,1090,305400,49,2020
New York,1315,325000,36,2020
District of Columbia,1607,618100,11,2020
Alaska,1240,275600,02,2020
Florida,1218,232000,12,2020
South Carolina,918,170100,45,2020
North Dakota,828,199900,38,2020
Maine,873,198000,23,2020
Georgia,1042,190200,13,2020
Alabama,811,149600,01,2020
New Hampshire,1145,272300,33,2020
Oregon,1173,336700,41,2020
Wyoming,853,228000,56,2020
Arizona,1097,242000,04,2020
Louisiana,876,168100,22,2020
Indiana,844,148900,18,2020
Idaho,887,235600,16,2020
Connecticut,1201,279700,09,2020
Hawaii,1651,636400,15,2020
Illinois,1038,202100,17,2020
Massachusetts,1336,398800,25,2020
Texas,1082,187200,48,2020
Montana,836,244900,30,2020
Nebraska,857,164000,31,2020
Ohio,825,151400,39,2020
Colorado,1335,369900,08,2020
New Jersey,1368,343500,34,2020
Maryland,1415,325400,24,2020
Virginia,1257,282800,51,2020
Vermont,999,230900,50,2020
North Carolina,932,182100,37,2020
Arkansas,760,133600,05,2020
Washington,1337,366800,53,2020
Kansas,863,157600,20,2020
Oklahoma,818,142400,40,2020
Wisconsin,872,189200,55,2020
Mississippi,789,125500,28,2020
Missouri,843,163600,29,2020
Michigan,892,162600,26,2020
Rhode Island,1031,276600,44,2020
Minnesota,1010,235700,27,2020
Iowa,806,153900,19,2020
New Mexico,857,175700,35,2020
Nevada,1159,290200,32,2020
Delaware,1150,258300,10,2020
Puerto Rico,486,111200,72,2020
Kentucky,783,147100,21,2020
South Dakota,761,174600,46,2020
Tennessee,897,177600,47,2020
