NAME,median_gross_rent,median_home_value,state,year
Alabama,963,195100,01,2023
Alaska,1388,333300,02,2023
Arizona,1431,358900,04,2023
Arkansas,914,175300,05,2023
California,1956,695400,06,2023
Colorado,1693,502200,08,2023
Connecticut,1431,343200,09,2023
Delaware,1341,326800,10,2023
District of Columbia,1900,724600,11,2023
Florida,1564,325000,12,2023
Georgia,1306,272900,13,2023
Hawaii,1938,808200,15,2023
Idaho,1150,376000,16,2023
Illinois,1227,250500,17,2023
Indiana,1020,201600,18,2023
Iowa,949,195900,19,2023
Kansas,1029,203400,20,2023
Kentucky,933,192300,21,2023
Louisiana,1038,208700,22,2023
Maine,1084,266400,23,2023
Maryland,1662,397700,24,2023
Massachusetts,1687,525800,25,2023
Michigan,1084,217600,26,2023
Minnesota,1235,305500,27,2023
Mississippi,923,161400,28,2023
Missouri,996,215600,29,2023
Montana,1031,338100,30,2023
Nebraska,1035,223800,31,2023
Nevada,1489,406100,32,2023
New Hampshire,1423,367200,33,2023
New Jersey,1653,427600,34,2023
New Mexico,1021,232200,35,2023
New York,1576,403000,36,2023
North Carolina,1162,259400,37,2023
North Dakota,934,241100,38,2023
Ohio,988,199200,39,2023
Oklahoma,980,185900,40,2023
Oregon,1450,454200,41,2023
Pennsylvania,1162,240500,42,2023
Rhode Island,1273,368800,44,2023
South Carolina,1126,236700,45,2023
South Dakota,912,236800,46,2023
Tennessee,1122,256800,47,2023
Texas,1339,260400,48,2023
Utah,1405,455000,49,2023
Vermont,1193,290500,50,2023
Virginia,1514,360700,51,2023
Washington,1682,519800,53,2023
West Virginia,850,155600,54,2023
Wisconsin,1045,247400,55,2023
Wyoming,968,285100,56,2023
Puerto Rico,562,124600,72,2023
