year,unemployment_rate,gdp
2010,16.4,98381300000.0
2011,15.9,100351700000.0
2012,14.5,101564800000.0
2013,14.3,102450000000.0
2014,13.9,102445800000.0
2015,12.0,103375500000.0
2016,11.8,104336700000.0
2017,10.8,103445526000.0
2018,9.2,100958100000.0
2019,8.3,105126400000.0
2020,8.9,103130900000.0
2021,7.9,106426600000.0
2022,6.0,113843700000.0
2023,5.9,118375000000.0
2024,5.6,125841500000.0
