NAME,B03001_005E,state,county,year
"Wright County, Missouri",11,29,229,2016
"Clay County, Missouri",1110,29,047,2016
"Dent County, Missouri",0,29,065,2016
"Saline County, Missouri",2,29,195,2016
"Worth County, Missouri",0,29,227,2016
"Grundy County, Missouri",0,29,079,2016
"Morgan County, Missouri",4,29,141,2016
"Reynolds County, Missouri",0,29,179,2016
"St. Louis County, Missouri",2552,29,189,2016
"Stone County, Missouri",42,29,209,2016
"Barry County, Missouri",8,29,009,2016
"Boone County, Missouri",278,29,019,2016
"Cole County, Missouri",108,29,051,2016
"Crawford County, Missouri",23,29,055,2016
"Iron County, Missouri",0,29,093,2016
"Livingston County, Missouri",24,29,117,2016
"Moniteau County, Missouri",47,29,135,2016
"Pemiscot County, Missouri",18,29,155,2016
"Pettis County, Missouri",113,29,159,2016
"Shannon County, Missouri",19,29,203,2016
"Randolph County, Missouri",87,29,175,2016
"Dunklin County, Missouri",12,29,069,2016
"Franklin County, Missouri",202,29,071,2016
"Howard County, Missouri",5,29,089,2016
"Jackson County, Missouri",2197,29,095,2016
"Miller County, Missouri",0,29,131,2016
"Putnam County, Missouri",0,29,171,2016
"Taney County, Missouri",63,29,213,2016
"Buchanan County, Missouri",351,29,021,2016
"Caldwell County, Missouri",2,29,025,2016
"Cass County, Missouri",284,29,037,2016
"Clinton County, Missouri",31,29,049,2016
"Dallas County, Missouri",1,29,059,2016
"Hickory County, Missouri",2,29,085,2016
"Lincoln County, Missouri",17,29,113,2016
"Monroe County, Missouri",44,29,137,2016
"Newton County, Missouri",154,29,145,2016
"Pike County, Missouri",3,29,163,2016
"St. Charles County, Missouri",745,29,183,2016
"Cape Girardeau County, Missouri",166,29,031,2016
"Shelby County, Missouri",19,29,205,2016
"Webster County, Missouri",18,29,225,2016
"Atchison County, Missouri",15,29,005,2016
"Bates County, Missouri",18,29,013,2016
"Benton County, Missouri",40,29,015,2016
"Carter County, Missouri",0,29,035,2016
"Dade County, Missouri",4,29,057,2016
"Linn County, Missouri",0,29,115,2016
"Howell County, Missouri",0,29,091,2016
"Johnson County, Missouri",264,29,101,2016
"Laclede County, Missouri",71,29,105,2016
"Maries County, Missouri",0,29,125,2016
"Phelps County, Missouri",83,29,161,2016
"Platte County, Missouri",358,29,165,2016
"St. Francois County, Missouri",46,29,187,2016
"St. Louis city, Missouri",572,29,510,2016
"Andrew County, Missouri",15,29,003,2016
"Butler County, Missouri",40,29,023,2016
"Carroll County, Missouri",0,29,033,2016
"Virginia Beach city, Virginia",11386,51,810,2016
"Alleghany County, Virginia",0,51,005,2016
"Galax city, Virginia",10,51,640,2016
"Westmoreland County, Virginia",136,51,193,2016
"Northumberland County, Virginia",0,51,133,2016
"Pulaski County, Virginia",118,51,155,2016
"Warren County, Virginia",225,51,187,2016
"Danville city, Virginia",117,51,590,2016
"Fredericksburg city, Virginia",243,51,630,2016
"Amherst County, Virginia",27,51,009,2016
"Bath County, Virginia",0,51,017,2016
"Hopewell city, Virginia",726,51,670,2016
"Newport News city, Virginia",4684,51,700,2016
"Frederick County, Virginia",757,51,069,2016
"Lynchburg city, Virginia",786,51,680,2016
"York County, Virginia",1143,51,199,2016
"Martinsville city, Virginia",71,51,690,2016
"Nelson County, Virginia",0,51,125,2016
"Pittsylvania County, Virginia",113,51,143,2016
"Buena Vista city, Virginia",22,51,530,2016
"Falls Church city, Virginia",92,51,610,2016
"Petersburg city, Virginia",573,51,730,2016
"Poquoson city, Virginia",74,51,735,2016
"Fairfax city, Virginia",249,51,600,2016
"Waynesboro city, Virginia",561,51,820,2016
"Roanoke city, Virginia",711,51,770,2016
"Suffolk city, Virginia",988,51,800,2016
"Norfolk city, Virginia",4393,51,710,2016
"Chesterfield County, Virginia",3986,51,041,2016
"Fairfax County, Virginia",11132,51,059,2016
"Okanogan County, Washington",2,53,047,2016
"Kittitas County, Washington",76,53,037,2016
"Benton County, Washington",697,53,005,2016
"Clark County, Washington",1174,53,011,2016
"Asotin County, Washington",42,53,003,2016
"Adams County, Washington",24,53,001,2016
"Garfield County, Washington",0,53,023,2016
"Mason County, Washington",236,53,045,2016
"Skagit County, Washington",452,53,057,2016
"Stevens County, Washington",8,53,065,2016
"Spokane County, Washington",1474,53,063,2016
"Lincoln County, Washington",0,53,043,2016
"Chelan County, Washington",181,53,007,2016
"Jefferson County, Washington",54,53,031,2016
"Kitsap County, Washington",2013,53,035,2016
"King County, Washington",8305,53,033,2016
"Pacific County, Washington",0,53,049,2016
"Pend Oreille County, Washington",13,53,051,2016
"San Juan County, Washington",31,53,055,2016
"Skamania County, Washington",9,53,059,2016
"Whitman County, Washington",131,53,075,2016
"Yakima County, Washington",444,53,077,2016
"Clallam County, Washington",119,53,009,2016
"Cowlitz County, Washington",194,53,015,2016
"Ferry County, Washington",2,53,019,2016
"Lewis County, Washington",353,53,041,2016
"Douglas County, Washington",212,53,017,2016
"Island County, Washington",454,53,029,2016
"Echols County, Georgia",32,13,101,2016
"Glynn County, Georgia",953,13,127,2016
"DeKalb County, Georgia",4458,13,089,2016
"Haralson County, Georgia",24,13,143,2016
"Jackson County, Georgia",265,13,157,2016
"Jefferson County, Georgia",171,13,163,2016
"Jones County, Georgia",29,13,169,2016
"Lincoln County, Georgia",7,13,181,2016
"Murray County, Georgia",67,13,213,2016
"Muscogee County, Georgia",3890,13,215,2016
"Pulaski County, Georgia",19,13,235,2016
"Rabun County, Georgia",39,13,241,2016
"Stewart County, Georgia",8,13,259,2016
"Towns County, Georgia",81,13,281,2016
"Treutlen County, Georgia",0,13,283,2016
"Turner County, Georgia",32,13,287,2016
"Atkinson County, Georgia",18,13,003,2016
"Appling County, Georgia",16,13,001,2016
"Brantley County, Georgia",258,13,025,2016
"Ben Hill County, Georgia",112,13,017,2016
"Catoosa County, Georgia",241,13,047,2016
"Chattooga County, Georgia",36,13,055,2016
"Columbia County, Georgia",2606,13,073,2016
"Floyd County, Georgia",571,13,115,2016
"Forsyth County, Georgia",1680,13,117,2016
"Hart County, Georgia",49,13,147,2016
"Lowndes County, Georgia",1020,13,185,2016
"Meriwether County, Georgia",20,13,199,2016
"Putnam County, Georgia",7,13,237,2016
"Sumter County, Georgia",208,13,261,2016
"Warren County, Georgia",0,13,301,2016
"Baker County, Georgia",0,13,007,2016
"Butts County, Georgia",268,13,035,2016
"Candler County, Georgia",68,13,043,2016
"Carroll County, Georgia",877,13,045,2016
"Early County, Georgia",23,13,099,2016
"Crisp County, Georgia",0,13,081,2016
"Coweta County, Georgia",1357,13,077,2016
"Cobb County, Georgia",9639,13,067,2016
"Dade County, Georgia",7,13,083,2016
"Wilkes County, Georgia",4,13,317,2016
"Brooks County, Georgia",51,13,027,2016
"Gordon County, Georgia",123,13,129,2016
"Elbert County, Georgia",57,13,105,2016
"Fayette County, Georgia",867,13,113,2016
"Jenkins County, Georgia",0,13,165,2016
"Newton County, Georgia",991,13,217,2016
"Greene County, Georgia",10,13,133,2016
"Colquitt County, Georgia",101,13,071,2016
"Dawson County, Georgia",110,13,085,2016
"Clayton County, Georgia",2649,13,063,2016
"Hall County, Georgia",1609,13,139,2016
"Honolulu County, Hawaii",29954,15,003,2016
"Maui County, Hawaii",5696,15,009,2016
"Kalawao County, Hawaii",1,15,005,2016
"Oneida County, Idaho",9,16,071,2016
"Gem County, Idaho",0,16,045,2016
"Valley County, Idaho",0,16,085,2016
"Adams County, Idaho",0,16,003,2016
"Bolivar County, Mississippi",58,28,011,2016
"Daviess County, Missouri",34,29,061,2016
"Holt County, Missouri",1,29,087,2016
"Marion County, Missouri",13,29,127,2016
"Osage County, Missouri",20,29,151,2016
"Ripley County, Missouri",0,29,181,2016
"Warren County, Missouri",10,29,219,2016
"Washington County, Missouri",1,29,221,2016
"Christian County, Missouri",149,29,043,2016
"DeKalb County, Missouri",16,29,063,2016
"Harrison County, Missouri",2,29,081,2016
"Lafayette County, Missouri",100,29,107,2016
"Adair County, Missouri",51,29,001,2016
"Scotland County, Missouri",0,29,199,2016
"Sullivan County, Missouri",87,29,211,2016
"Clark County, Missouri",0,29,045,2016
"Jasper County, Missouri",411,29,097,2016
"Lewis County, Missouri",0,29,111,2016
"McDonald County, Missouri",2,29,119,2016
"Perry County, Missouri",67,29,157,2016
"Polk County, Missouri",31,29,167,2016
"Ray County, Missouri",148,29,177,2016
"Hill County, Montana",13,30,041,2016
"Chouteau County, Montana",0,30,015,2016
"Lincoln County, Montana",0,30,053,2016
"Park County, Montana",22,30,067,2016
"Treasure County, Montana",0,30,103,2016
"Blaine County, Montana",2,30,005,2016
"Sweet Grass County, Montana",2,30,097,2016
"Teton County, Montana",9,30,099,2016
"Prairie County, Montana",0,30,079,2016
"Glacier County, Montana",11,30,035,2016
"Fallon County, Montana",0,30,025,2016
"Golden Valley County, Montana",0,30,037,2016
"Silver Bow County, Montana",4,30,093,2016
"Stillwater County, Montana",0,30,095,2016
"Jefferson County, Montana",15,30,043,2016
"Granite County, Montana",0,30,039,2016
"Wheatland County, Montana",0,30,107,2016
"Madison County, Montana",0,30,057,2016
"Sheridan County, Montana",0,30,091,2016
"Carter County, Montana",0,30,011,2016
"Big Horn County, Montana",43,30,003,2016
"Lake County, Montana",12,30,047,2016
"Lewis and Clark County, Montana",195,30,049,2016
"Curry County, Oregon",1,41,015,2016
"Gilliam County, Oregon",0,41,021,2016
"Hood River County, Oregon",81,41,027,2016
"Lake County, Oregon",27,41,037,2016
"Multnomah County, Oregon",2764,41,051,2016
"Pike County, Pennsylvania",2993,42,103,2016
"Snyder County, Pennsylvania",407,42,109,2016
"Susquehanna County, Pennsylvania",349,42,115,2016
"Crawford County, Pennsylvania",509,42,039,2016
"Erie County, Pennsylvania",6758,42,049,2016
"Fulton County, Pennsylvania",19,42,057,2016
"Juniata County, Pennsylvania",173,42,067,2016
"Schuylkill County, Pennsylvania",2664,42,107,2016
"Wyoming County, Pennsylvania",117,42,131,2016
"Adams County, Pennsylvania",875,42,001,2016
"Pierce County, Washington",7655,53,053,2016
"Franklin County, Washington",176,53,021,2016
"Walla Walla County, Washington",91,53,071,2016
"Whatcom County, Washington",551,53,073,2016
"Grant County, West Virginia",0,54,023,2016
"Hampshire County, West Virginia",54,54,027,2016
"Brooke County, West Virginia",33,54,009,2016
"Doddridge County, West Virginia",0,54,017,2016
"Hardy County, West Virginia",58,54,031,2016
"Marion County, West Virginia",110,54,049,2016
"Mingo County, West Virginia",0,54,059,2016
"Hancock County, West Virginia",38,54,029,2016
"Marshall County, West Virginia",5,54,051,2016
"Nicholas County, West Virginia",58,54,067,2016
"Tucker County, West Virginia",0,54,093,2016
"Tyler County, West Virginia",0,54,095,2016
"Roane County, West Virginia",11,54,087,2016
"Taylor County, West Virginia",0,54,091,2016
"Wood County, West Virginia",174,54,107,2016
"Gilmer County, West Virginia",66,54,021,2016
"Mason County, West Virginia",8,54,053,2016
"Monroe County, West Virginia",10,54,063,2016
"Pleasants County, West Virginia",55,54,073,2016
"Cabell County, West Virginia",165,54,011,2016
"Jefferson County, West Virginia",317,54,037,2016
"Logan County, West Virginia",23,54,045,2016
"Pendleton County, West Virginia",0,54,071,2016
"Harrison County, West Virginia",113,54,033,2016
"Ohio County, West Virginia",132,54,069,2016
"Calhoun County, West Virginia",42,54,013,2016
"Morgan County, West Virginia",8,54,065,2016
"Raleigh County, West Virginia",264,54,081,2016
"Putnam County, West Virginia",30,54,079,2016
"Barbour County, West Virginia",38,54,001,2016
"McDowell County, West Virginia",11,54,047,2016
"Wayne County, West Virginia",139,54,099,2016
"Jackson County, West Virginia",0,54,035,2016
"Sunflower County, Mississippi",29,28,133,2016
"Adams County, Mississippi",89,28,001,2016
"DeSoto County, Mississippi",229,28,033,2016
"Delaware County, Pennsylvania",7978,42,045,2016
"Somerset County, Pennsylvania",464,42,111,2016
"Madison County, Missouri",0,29,123,2016
"Vernon County, Missouri",25,29,217,2016
"Nodaway County, Missouri",25,29,147,2016
"Chariton County, Missouri",12,29,041,2016
"Wayne County, Missouri",27,29,223,2016
"Scott County, Missouri",63,29,201,2016
"Barton County, Missouri",0,29,011,2016
"Cedar County, Missouri",10,29,039,2016
"Gasconade County, Missouri",19,29,073,2016
"Macon County, Missouri",7,29,121,2016
"Oregon County, Missouri",26,29,149,2016
"Ste. Genevieve County, Missouri",26,29,186,2016
"Douglas County, Missouri",0,29,067,2016
"Henry County, Missouri",5,29,083,2016
"Lawrence County, Missouri",74,29,109,2016
"Pulaski County, Missouri",1138,29,169,2016
"Texas County, Missouri",60,29,215,2016
"Callaway County, Missouri",69,29,027,2016
"Cooper County, Missouri",32,29,053,2016
"Gentry County, Missouri",13,29,075,2016
"Mississippi County, Missouri",88,29,133,2016
"Ozark County, Missouri",22,29,153,2016
"Bollinger County, Missouri",0,29,017,2016
"Knox County, Missouri",0,29,103,2016
"Montgomery County, Missouri",47,29,139,2016
"Stoddard County, Missouri",50,29,207,2016
"Audrain County, Missouri",20,29,007,2016
"Greene County, Missouri",800,29,077,2016
"St. Clair County, Missouri",8,29,185,2016
"Schuyler County, Missouri",0,29,197,2016
"Camden County, Missouri",0,29,029,2016
"Jefferson County, Missouri",229,29,099,2016
"New Madrid County, Missouri",20,29,143,2016
"Ralls County, Missouri",26,29,173,2016
"Custer County, Montana",38,30,017,2016
"Powder River County, Montana",0,30,075,2016
"Roosevelt County, Montana",0,30,085,2016
"Liberty County, Montana",0,30,051,2016
"Richland County, Montana",0,30,083,2016
"Toole County, Montana",0,30,101,2016
"Daniels County, Montana",0,30,019,2016
"Pike County, Mississippi",64,28,113,2016
"Judith Basin County, Montana",3,30,045,2016
"Deer Lodge County, Montana",5,30,023,2016
"McCone County, Montana",0,30,055,2016
"Rosebud County, Montana",0,30,087,2016
"Dawson County, Montana",0,30,021,2016
"Broadwater County, Montana",10,30,007,2016
"Cameron County, Pennsylvania",6,42,023,2016
"Bucks County, Pennsylvania",12350,42,017,2016
"Lehigh County, Pennsylvania",44716,42,077,2016
"Clarion County, Pennsylvania",124,42,031,2016
"Greene County, Pennsylvania",312,42,059,2016
"Luzerne County, Pennsylvania",7366,42,079,2016
"Nez Perce County, Idaho",121,16,069,2016
"Jerome County, Idaho",80,16,053,2016
"Kootenai County, Idaho",297,16,055,2016
"Lewis County, Idaho",0,16,061,2016
"Minidoka County, Idaho",19,16,067,2016
"Twin Falls County, Idaho",78,16,083,2016
"San Diego County, California",23114,06,073,2016
"Tulare County, California",1215,06,107,2016
"Yolo County, California",1117,06,113,2016
"Humboldt County, California",402,06,023,2016
"Nevada County, California",247,06,057,2016
"Alpine County, California",8,06,003,2016
"Madera County, California",317,06,039,2016
"Mendocino County, California",378,06,045,2016
"Santa Cruz County, California",958,06,087,2016
"Trinity County, California",4,06,105,2016
"Los Angeles County, California",46736,06,037,2016
"Riverside County, California",15756,06,065,2016
"San Bernardino County, California",18036,06,071,2016
"Santa Clara County, California",8111,06,085,2016
"Marin County, California",979,06,041,2016
"Placer County, California",2077,06,061,2016
"Siskiyou County, California",66,06,093,2016
"Shasta County, California",521,06,089,2016
"Solano County, California",4707,06,095,2016
"Del Norte County, California",85,06,015,2016
"Glenn County, California",73,06,021,2016
"Butte County, California",483,06,007,2016
"Plumas County, California",86,06,063,2016
"San Luis Obispo County, California",1031,06,079,2016
"Kern County, California",3973,06,029,2016
"Ventura County, California",3598,06,111,2016
"Armstrong County, Pennsylvania",163,42,005,2016
"Clinton County, Pennsylvania",321,42,035,2016
"Carbon County, Pennsylvania",1600,42,025,2016
"Centre County, Pennsylvania",1225,42,027,2016
"Northumberland County, Pennsylvania",1530,42,097,2016
"Northampton County, Pennsylvania",20463,42,095,2016
"Venango County, Pennsylvania",247,42,121,2016
"Beaver County, Pennsylvania",456,42,007,2016
"Lackawanna County, Pennsylvania",6741,42,069,2016
"McKean County, Pennsylvania",319,42,083,2016
"Fayette County, Pennsylvania",663,42,051,2016
"Montgomery County, Pennsylvania",12042,42,091,2016
"Clearfield County, Pennsylvania",724,42,033,2016
"Lebanon County, Pennsylvania",11146,42,075,2016
"Lycoming County, Pennsylvania",762,42,081,2016
"Montour County, Pennsylvania",191,42,093,2016
"Warren County, Pennsylvania",128,42,123,2016
"Butler County, Pennsylvania",566,42,019,2016
"Elk County, Pennsylvania",2,42,047,2016
"Lancaster County, Pennsylvania",34900,42,071,2016
"Mercer County, Pennsylvania",614,42,085,2016
"Potter County, Pennsylvania",45,42,105,2016
"Tioga County, Pennsylvania",196,42,117,2016
"Newport County, Rhode Island",1382,44,005,2016
"Providence County, Rhode Island",33269,44,007,2016
"Bristol County, Rhode Island",308,44,001,2016
"Aiken County, South Carolina",873,45,003,2016
"Allendale County, South Carolina",24,45,005,2016
"Edgefield County, South Carolina",180,45,037,2016
"Chester County, South Carolina",26,45,023,2016
"Colleton County, South Carolina",127,45,029,2016
"Marion County, South Carolina",114,45,067,2016
"Lexington County, South Carolina",1764,45,063,2016
"Oconee County, South Carolina",177,45,073,2016
"Berkeley County, South Carolina",1634,45,015,2016
"Charleston County, South Carolina",2629,45,019,2016
"Georgetown County, South Carolina",489,45,043,2016
"Marlboro County, South Carolina",124,45,069,2016
"Anderson County, South Carolina",873,45,007,2016
"Chesterfield County, South Carolina",109,45,025,2016
"Greenwood County, South Carolina",413,45,047,2016
"Horry County, South Carolina",3072,45,051,2016
"Kershaw County, South Carolina",617,45,055,2016
"Orangeburg County, South Carolina",551,45,075,2016
"Spartanburg County, South Carolina",1347,45,083,2016
"Bamberg County, South Carolina",24,45,009,2016
"Beaufort County, South Carolina",1253,45,013,2016
"Calhoun County, South Carolina",36,45,017,2016
"Dillon County, South Carolina",26,45,033,2016
"Saluda County, South Carolina",126,45,081,2016
"Richland County, South Carolina",5526,45,079,2016
"Fairfield County, South Carolina",0,45,039,2016
"Hampton County, South Carolina",62,45,049,2016
"Greenville County, South Carolina",4146,45,045,2016
"Lancaster County, South Carolina",215,45,057,2016
"Dorchester County, South Carolina",1726,45,035,2016
"Columbia County, Pennsylvania",984,42,037,2016
"Jefferson County, Pennsylvania",124,42,065,2016
"Perry County, Pennsylvania",289,42,099,2016
"Sullivan County, Pennsylvania",28,42,113,2016
"Kent County, Rhode Island",1521,44,003,2016
"Washington County, Rhode Island",1121,44,009,2016
"Newberry County, South Carolina",47,45,071,2016
"Clarendon County, South Carolina",81,45,027,2016
"Sumter County, South Carolina",509,45,085,2016
"Barnwell County, South Carolina",3,45,011,2016
"Darlington County, South Carolina",164,45,031,2016
"York County, South Carolina",2618,45,091,2016
"Cherokee County, South Carolina",161,45,021,2016
"Jasper County, South Carolina",68,45,053,2016
"Lee County, South Carolina",110,45,061,2016
"Abbeville County, South Carolina",133,45,001,2016
"Lyman County, South Dakota",0,46,085,2016
"Deuel County, South Dakota",8,46,039,2016
"Brule County, South Dakota",20,46,015,2016
"Gregory County, South Dakota",0,46,053,2016
"Minnehaha County, South Dakota",336,46,099,2016
"Clark County, South Dakota",3,46,025,2016
"Kingsbury County, South Dakota",9,46,077,2016
"Clay County, South Dakota",16,46,027,2016
"Dewey County, South Dakota",0,46,041,2016
"Hughes County, South Dakota",27,46,065,2016
"Sanborn County, South Dakota",0,46,111,2016
"Hand County, South Dakota",8,46,059,2016
"Yankton County, South Dakota",36,46,135,2016
"Beadle County, South Dakota",141,46,005,2016
"Davison County, South Dakota",21,46,035,2016
"Jerauld County, South Dakota",0,46,073,2016
"Stanley County, South Dakota",0,46,117,2016
"Stone County, Mississippi",0,28,131,2016
"Charles Mix County, South Dakota",12,46,023,2016
"Marshall County, South Dakota",1,46,091,2016
"Perkins County, South Dakota",0,46,105,2016
"Todd County, South Dakota",16,46,121,2016
"Oglala Lakota County, South Dakota",13,46,102,2016
"Sumner County, Tennessee",772,47,165,2016
"Trousdale County, Tennessee",0,47,169,2016
"Clay County, Tennessee",42,47,027,2016
"Shelby County, Tennessee",2581,47,157,2016
"Henderson County, Tennessee",21,47,077,2016
"Jefferson County, Tennessee",57,47,089,2016
"Sequatchie County, Tennessee",46,47,153,2016
"Carroll County, Tennessee",32,47,017,2016
"Davidson County, Tennessee",4421,47,037,2016
"Perry County, Tennessee",0,47,135,2016
"Meigs County, Tennessee",0,47,121,2016
"Haywood County, Tennessee",71,47,075,2016
"Montgomery County, Tennessee",5914,47,125,2016
"Grundy County, Tennessee",20,47,061,2016
"Cocke County, Tennessee",89,47,029,2016
"DeKalb County, Tennessee",0,47,041,2016
"Lewis County, Tennessee",0,47,101,2016
"Obion County, Tennessee",42,47,131,2016
"Tipton County, Tennessee",137,47,167,2016
"Owyhee County, Idaho",35,16,073,2016
