NAME,B03001_005E,state,county,year
"Autauga County, Alabama",423,01,001,2020
"Baldwin County, Alabama",1217,01,003,2020
"Barbour County, Alabama",74,01,005,2020
"Bibb County, Alabama",61,01,007,2020
"Blount County, Alabama",128,01,009,2020
"Bullock County, Alabama",67,01,011,2020
"Butler County, Alabama",0,01,013,2020
"Calhoun County, Alabama",504,01,015,2020
"Lewis County, Kentucky",0,21,135,2020
"Lincoln County, Kentucky",50,21,137,2020
"Livingston County, Kentucky",23,21,139,2020
"Logan County, Kentucky",82,21,141,2020
"Lyon County, Kentucky",14,21,143,2020
"McCracken County, Kentucky",78,21,145,2020
"McCreary County, Kentucky",34,21,147,2020
"Madison County, Kentucky",186,21,151,2020
"Marion County, Kentucky",14,21,155,2020
"Marshall County, Kentucky",64,21,157,2020
"Mason County, Kentucky",0,21,161,2020
"Meade County, Kentucky",308,21,163,2020
"Mercer County, Kentucky",0,21,167,2020
"Metcalfe County, Kentucky",89,21,169,2020
"Montgomery County, Kentucky",122,21,173,2020
"Morgan County, Kentucky",7,21,175,2020
"Nelson County, Kentucky",125,21,179,2020
"Nicholas County, Kentucky",0,21,181,2020
"Oldham County, Kentucky",278,21,185,2020
"Owen County, Kentucky",54,21,187,2020
"Pendleton County, Kentucky",0,21,191,2020
"Pike County, Kentucky",74,21,195,2020
"Powell County, Kentucky",0,21,197,2020
"Robertson County, Kentucky",22,21,201,2020
"Rockcastle County, Kentucky",16,21,203,2020
"Russell County, Kentucky",3,21,207,2020
"Scott County, Kentucky",527,21,209,2020
"Simpson County, Kentucky",12,21,213,2020
"Spencer County, Kentucky",258,21,215,2020
"Todd County, Kentucky",28,21,219,2020
"Trimble County, Kentucky",51,21,223,2020
"Union County, Kentucky",27,21,225,2020
"Washington County, Kentucky",0,21,229,2020
"Wayne County, Kentucky",105,21,231,2020
"Whitley County, Kentucky",123,21,235,2020
"Wolfe County, Kentucky",0,21,237,2020
"Androscoggin County, Maine",612,23,001,2020
"Aroostook County, Maine",262,23,003,2020
"Franklin County, Maine",76,23,007,2020
