NAME,B03001_005E,state,county,year
"Fayette County, Illinois",64,17,051,2019
"Logan County, Illinois",165,17,107,2019
"Saline County, Illinois",53,17,165,2019
"Lake County, Illinois",9793,17,097,2019
"Massac County, Illinois",38,17,127,2019
"Cass County, Illinois",250,17,017,2019
"Huntington County, Indiana",74,18,069,2019
"White County, Indiana",54,18,181,2019
"Jay County, Indiana",15,18,075,2019
"Shelby County, Indiana",46,18,145,2019
"Sullivan County, Indiana",46,18,153,2019
"Tippecanoe County, Indiana",795,18,157,2019
"Hamilton County, Indiana",2103,18,057,2019
"Bartholomew County, Indiana",464,18,005,2019
"Fulton County, Indiana",10,18,049,2019
"Noble County, Indiana",101,18,113,2019
"Clark County, Indiana",288,18,019,2019
"Hendricks County, Indiana",682,18,063,2019
"Grant County, Indiana",159,18,053,2019
"Jackson County, Indiana",208,18,071,2019
"Owen County, Indiana",12,18,119,2019
"Whitley County, Indiana",53,18,183,2019
"Clinton County, Indiana",70,18,023,2019
"Union County, Indiana",38,18,161,2019
"Dearborn County, Indiana",30,18,029,2019
"Lawrence County, Indiana",24,18,093,2019
"Perry County, Indiana",0,18,123,2019
"Posey County, Indiana",131,18,129,2019
"Carroll County, Indiana",18,18,015,2019
"Fountain County, Indiana",17,18,045,2019
"Starke County, Indiana",172,18,149,2019
"Greene County, Indiana",24,18,055,2019
"Benton County, Iowa",6,19,011,2019
"Dubuque County, Iowa",180,19,061,2019
"Pocahontas County, Iowa",0,19,151,2019
"Van Buren County, Iowa",0,19,177,2019
"Adams County, Iowa",0,19,003,2019
"Audubon County, Iowa",2,19,009,2019
"Davis County, Iowa",0,19,051,2019
"Ida County, Iowa",15,19,093,2019
"Monroe County, Iowa",8,19,135,2019
"Sioux County, Iowa",26,19,167,2019
"Calhoun County, Iowa",7,19,025,2019
"Cerro Gordo County, Iowa",205,19,033,2019
"Hardin County, Iowa",28,19,083,2019
"Lucas County, Iowa",0,19,117,2019
"Palo Alto County, Iowa",0,19,147,2019
"Henry County, Iowa",125,19,087,2019
"Jasper County, Iowa",50,19,099,2019
"Poweshiek County, Iowa",29,19,157,2019
"Clayton County, Iowa",4,19,043,2019
"Bremer County, Iowa",52,19,017,2019
"Emmet County, Iowa",101,19,063,2019
"Hancock County, Iowa",20,19,081,2019
"Jackson County, Iowa",40,19,097,2019
"Lee County, Iowa",15,19,111,2019
"Warren County, Iowa",24,19,181,2019
"Mahaska County, Iowa",26,19,123,2019
"Clay County, Iowa",8,19,041,2019
"Delaware County, Iowa",0,19,055,2019
"Bacon County, Georgia",186,13,005,2019
"Brantley County, Georgia",119,13,025,2019
"Ben Hill County, Georgia",26,13,017,2019
"Burke County, Georgia",84,13,033,2019
"Catoosa County, Georgia",215,13,047,2019
"Chattahoochee County, Georgia",462,13,053,2019
"Chattooga County, Georgia",19,13,055,2019
"Columbia County, Georgia",2216,13,073,2019
"Decatur County, Georgia",0,13,087,2019
"Floyd County, Georgia",110,13,115,2019
"Forsyth County, Georgia",1733,13,117,2019
"Habersham County, Georgia",273,13,137,2019
"Hart County, Georgia",100,13,147,2019
"Lowndes County, Georgia",1094,13,185,2019
"McIntosh County, Georgia",11,13,191,2019
"Meriwether County, Georgia",23,13,199,2019
"Monroe County, Georgia",186,13,207,2019
"Putnam County, Georgia",23,13,237,2019
"Sumter County, Georgia",89,13,261,2019
"Taliaferro County, Georgia",0,13,265,2019
"Warren County, Georgia",0,13,301,2019
"Wayne County, Iowa",29,19,185,2019
"Scott County, Iowa",428,19,163,2019
"Sherman County, Kansas",0,20,181,2019
"Thomas County, Kansas",0,20,193,2019
"Morris County, Kansas",49,20,127,2019
"Rooks County, Kansas",0,20,163,2019
"Clark County, Kansas",0,20,025,2019
"Harper County, Kansas",5,20,077,2019
"Lyon County, Kansas",327,20,111,2019
"Pawnee County, Kansas",40,20,145,2019
"Comanche County, Kansas",0,20,033,2019
"Gove County, Kansas",0,20,063,2019
"Harvey County, Kansas",37,20,079,2019
"Kearny County, Kansas",0,20,093,2019
"McPherson County, Kansas",68,20,113,2019
"Desha County, Arkansas",13,05,041,2019
"Fulton County, Arkansas",26,05,049,2019
"Howard County, Arkansas",0,05,061,2019
"Garland County, Arkansas",103,05,051,2019
"Mississippi County, Arkansas",26,05,093,2019
"Pope County, Arkansas",37,05,115,2019
"Prairie County, Arkansas",19,05,117,2019
"Union County, Arkansas",8,05,139,2019
"Woodruff County, Arkansas",5,05,147,2019
"Cleburne County, Arkansas",0,05,023,2019
"Cleveland County, Arkansas",0,05,025,2019
"Jackson County, Arkansas",30,05,067,2019
"Hempstead County, Arkansas",5,05,057,2019
"Sharp County, Arkansas",48,05,135,2019
"Stone County, Arkansas",30,05,137,2019
"Washington County, Arkansas",1302,05,143,2019
"Baxter County, Arkansas",185,05,005,2019
"Ashley County, Arkansas",0,05,003,2019
"Craighead County, Arkansas",131,05,031,2019
"Greene County, Arkansas",148,05,055,2019
"Perry County, Arkansas",15,05,105,2019
"Poinsett County, Arkansas",14,05,111,2019
"Sevier County, Arkansas",7,05,133,2019
"Calhoun County, Arkansas",8,05,013,2019
"Clark County, Arkansas",10,05,019,2019
"Lawrence County, Arkansas",8,05,075,2019
"Monroe County, Arkansas",0,05,095,2019
"Conway County, Arkansas",0,05,029,2019
"Newton County, Arkansas",0,05,101,2019
"Arkansas County, Arkansas",21,05,001,2019
"Lonoke County, Arkansas",236,05,085,2019
"Carroll County, Arkansas",129,05,015,2019
"St. Francis County, Arkansas",179,05,123,2019
"Pulaski County, Arkansas",1041,05,119,2019
"Merced County, California",842,06,047,2019
"Mariposa County, California",59,06,043,2019
"Modoc County, California",8,06,049,2019
"Contra Costa County, California",9097,06,013,2019
"Inyo County, California",166,06,027,2019
"Stanislaus County, California",3763,06,099,2019
"Santa Barbara County, California",2065,06,083,2019
"Tehama County, California",85,06,103,2019
"Mono County, California",11,06,051,2019
"San Benito County, California",542,06,069,2019
"Bryan County, Georgia",496,13,029,2019
"Butts County, Georgia",65,13,035,2019
"Camden County, Georgia",952,13,039,2019
"Crawford County, Georgia",0,13,079,2019
"Early County, Georgia",0,13,099,2019
"Coffee County, Georgia",160,13,069,2019
"Coweta County, Georgia",1847,13,077,2019
"Gilmer County, Georgia",83,13,123,2019
