NAME,B03001_005E,state,county,year
"Autauga County, Alabama",509,01,001,2022
"Baldwin County, Alabama",967,01,003,2022
"Barbour County, Alabama",33,01,005,2022
"Bibb County, Alabama",157,01,007,2022
"Blount County, Alabama",55,01,009,2022
"Bullock County, Alabama",0,01,011,2022
"Butler County, Alabama",9,01,013,2022
"Calhoun County, Alabama",752,01,015,2022
"Chambers County, Alabama",179,01,017,2022
"Cherokee County, Alabama",6,01,019,2022
"Chilton County, Alabama",144,01,021,2022
"Choctaw County, Alabama",0,01,023,2022
"Clarke County, Alabama",13,01,025,2022
"Clay County, Alabama",0,01,027,2022
"Cleburne County, Alabama",5,01,029,2022
"Coffee County, Alabama",1070,01,031,2022
"Colbert County, Alabama",91,01,033,2022
"Conecuh County, Alabama",58,01,035,2022
"Coosa County, Alabama",54,01,037,2022
"Covington County, Alabama",75,01,039,2022
"Crenshaw County, Alabama",9,01,041,2022
"Cullman County, Alabama",185,01,043,2022
"Dale County, Alabama",1080,01,045,2022
"Dallas County, Alabama",17,01,047,2022
"DeKalb County, Alabama",39,01,049,2022
"Elmore County, Alabama",271,01,051,2022
"Escambia County, Alabama",75,01,053,2022
"Etowah County, Alabama",628,01,055,2022
"Fayette County, Alabama",0,01,057,2022
"Franklin County, Alabama",91,01,059,2022
"Geneva County, Alabama",167,01,061,2022
"Greene County, Alabama",0,01,063,2022
"Hale County, Alabama",0,01,065,2022
"Henry County, Alabama",133,01,067,2022
"Houston County, Alabama",523,01,069,2022
"Jackson County, Alabama",313,01,071,2022
"Jefferson County, Alabama",1722,01,073,2022
"Lamar County, Alabama",0,01,075,2022
"Lauderdale County, Alabama",57,01,077,2022
"Lawrence County, Alabama",126,01,079,2022
"Lee County, Alabama",1035,01,081,2022
"Limestone County, Alabama",519,01,083,2022
"Lowndes County, Alabama",0,01,085,2022
"Macon County, Alabama",197,01,087,2022
"Madison County, Alabama",3687,01,089,2022
"Marengo County, Alabama",39,01,091,2022
"Marion County, Alabama",6,01,093,2022
"Marshall County, Alabama",566,01,095,2022
"Mobile County, Alabama",2210,01,097,2022
"Monroe County, Alabama",0,01,099,2022
"Montgomery County, Alabama",768,01,101,2022
"Morgan County, Alabama",544,01,103,2022
"Perry County, Alabama",61,01,105,2022
"Pickens County, Alabama",12,01,107,2022
"Pike County, Alabama",71,01,109,2022
"Randolph County, Alabama",69,01,111,2022
"Russell County, Alabama",1192,01,113,2022
"St. Clair County, Alabama",472,01,115,2022
"Shelby County, Alabama",1114,01,117,2022
"Sumter County, Alabama",0,01,119,2022
"Talladega County, Alabama",178,01,121,2022
"Tallapoosa County, Alabama",10,01,123,2022
"Tuscaloosa County, Alabama",888,01,125,2022
"Walker County, Alabama",99,01,127,2022
"Washington County, Alabama",1,01,129,2022
"Wilcox County, Alabama",9,01,131,2022
"Winston County, Alabama",19,01,133,2022
"Aleutians East Borough, Alaska",19,02,013,2022
"Aleutians West Census Area, Alaska",2,02,016,2022
"Anchorage Municipality, Alaska",4739,02,020,2022
"Bethel Census Area, Alaska",5,02,050,2022
"Bristol Bay Borough, Alaska",37,02,060,2022
"Chugach Census Area, Alaska",4,02,063,2022
"Copper River Census Area, Alaska",0,02,066,2022
"Denali Borough, Alaska",0,02,068,2022
