NAME,B03001_005E,state,county,year
"Escambia County, Florida",3850,12,033,2013
"Hernando County, Florida",10052,12,053,2013
"Hillsborough County, Florida",97914,12,057,2013
"Okaloosa County, Florida",2949,12,091,2013
"Taylor County, Florida",174,12,123,2013
"Wakulla County, Florida",239,12,129,2013
"Lumpkin County, Georgia",121,13,187,2013
"McDuffie County, Georgia",25,13,189,2013
"Miller County, Georgia",0,13,201,2013
"Morgan County, Georgia",59,13,211,2013
"Heard County, Georgia",18,13,149,2013
"Oconee County, Georgia",280,13,219,2013
"Dougherty County, Georgia",429,13,095,2013
"Fannin County, Georgia",90,13,111,2013
"Henry County, Georgia",2070,13,151,2013
"Houston County, Georgia",1455,13,153,2013
"Laurens County, Georgia",41,13,175,2013
"Long County, Georgia",177,13,183,2013
"Spalding County, Georgia",625,13,255,2013
"Stephens County, Georgia",0,13,257,2013
"Telfair County, Georgia",47,13,271,2013
"Upson County, Georgia",25,13,293,2013
"Washington County, Georgia",25,13,303,2013
"Peach County, Georgia",34,13,225,2013
"Pierce County, Georgia",7,13,229,2013
"Pike County, Georgia",40,13,231,2013
"Screven County, Georgia",0,13,251,2013
"Tattnall County, Georgia",24,13,267,2013
"Walker County, Georgia",196,13,295,2013
"Gwinnett County, Georgia",13448,13,135,2013
"Charlton County, Georgia",0,13,049,2013
"Bartow County, Georgia",831,13,015,2013
"Douglas County, Georgia",768,13,097,2013
"Jeff Davis County, Georgia",43,13,161,2013
"Hancock County, Georgia",12,13,141,2013
"Calhoun County, Georgia",30,13,037,2013
"Troup County, Georgia",113,13,285,2013
"Marion County, Georgia",17,13,197,2013
"Schley County, Georgia",0,13,249,2013
"Bleckley County, Georgia",197,13,023,2013
"Evans County, Georgia",38,13,109,2013
"Franklin County, Georgia",150,13,119,2013
"Effingham County, Georgia",443,13,103,2013
"Lamar County, Georgia",29,13,171,2013
"Emanuel County, Georgia",25,13,107,2013
"Quitman County, Georgia",0,13,239,2013
"Jasper County, Georgia",0,13,159,2013
"Lanier County, Georgia",31,13,173,2013
"Liberty County, Georgia",2529,13,179,2013
"Mitchell County, Georgia",72,13,205,2013
"Seminole County, Georgia",19,13,253,2013
"Twiggs County, Georgia",4,13,289,2013
"Polk County, Georgia",36,13,233,2013
"Taylor County, Georgia",16,13,269,2013
"Thomas County, Georgia",83,13,275,2013
"Toombs County, Georgia",72,13,279,2013
"Montgomery County, Georgia",35,13,209,2013
"Oglethorpe County, Georgia",107,13,221,2013
"Rockdale County, Georgia",802,13,247,2013
"Wayne County, Georgia",468,13,305,2013
"Wheeler County, Georgia",1,13,309,2013
"Baldwin County, Georgia",95,13,009,2013
"Harrison County, Indiana",26,18,061,2013
"Wabash County, Indiana",27,18,169,2013
"Jay County, Indiana",80,18,075,2013
"Porter County, Indiana",2637,18,127,2013
"Spencer County, Indiana",10,18,147,2013
"Tippecanoe County, Indiana",950,18,157,2013
"Hamilton County, Indiana",625,18,057,2013
"LaGrange County, Indiana",25,18,087,2013
"Boone County, Indiana",96,18,011,2013
"Montgomery County, Indiana",28,18,107,2013
"Clark County, Indiana",488,18,019,2013
"Clay County, Indiana",19,18,021,2013
"Franklin County, Indiana",27,18,047,2013
"Jackson County, Indiana",69,18,071,2013
"Posey County, Indiana",3,18,129,2013
"Vermillion County, Indiana",80,18,165,2013
"Allen County, Indiana",1612,18,003,2013
"Floyd County, Indiana",30,18,043,2013
"Johnson County, Indiana",234,18,081,2013
"Gibson County, Indiana",54,18,051,2013
"Orange County, Indiana",87,18,117,2013
"Marshall County, Indiana",178,18,099,2013
"Blackford County, Indiana",3,18,009,2013
"Scott County, Indiana",5,18,143,2013
"Elkhart County, Indiana",1157,18,039,2013
"Cass County, Indiana",103,18,017,2013
"Bibb County, Georgia",341,13,021,2013
"Wayne County, Indiana",148,18,177,2013
"Butler County, Iowa",5,19,023,2013
"Hamilton County, Iowa",15,19,079,2013
"Union County, Iowa",10,19,175,2013
"Worth County, Iowa",6,19,195,2013
"Adair County, Iowa",0,19,001,2013
"Chickasaw County, Iowa",0,19,037,2013
"Dickinson County, Iowa",31,19,059,2013
"Franklin County, Iowa",0,19,069,2013
"Cedar County, Iowa",5,19,031,2013
"Floyd County, Iowa",3,19,067,2013
"Louisa County, Iowa",27,19,115,2013
"Humboldt County, Iowa",0,19,091,2013
"Washington County, Iowa",10,19,183,2013
"Cherokee County, Iowa",0,19,035,2013
"Des Moines County, Iowa",0,19,057,2013
"Kossuth County, Iowa",3,19,109,2013
"Muscatine County, Iowa",412,19,139,2013
"Polk County, Iowa",879,19,153,2013
"Keokuk County, Iowa",15,19,107,2013
"Tama County, Iowa",8,19,171,2013
"Union County, Kentucky",136,21,225,2013
"Calloway County, Kentucky",73,21,035,2013
"Banks County, Georgia",52,13,011,2013
"Bulloch County, Georgia",236,13,031,2013
"Clarke County, Georgia",420,13,059,2013
"Clay County, Georgia",0,13,061,2013
"Echols County, Georgia",42,13,101,2013
"Glynn County, Georgia",703,13,127,2013
"DeKalb County, Georgia",3992,13,089,2013
"Haralson County, Georgia",27,13,143,2013
"Jackson County, Georgia",141,13,157,2013
"Jefferson County, Georgia",209,13,163,2013
"Jones County, Georgia",0,13,169,2013
"Lincoln County, Georgia",0,13,181,2013
"Murray County, Georgia",176,13,213,2013
"Muscogee County, Georgia",3808,13,215,2013
"Pulaski County, Georgia",28,13,235,2013
"Rabun County, Georgia",57,13,241,2013
"Stewart County, Georgia",0,13,259,2013
"Towns County, Georgia",20,13,281,2013
"Treutlen County, Georgia",0,13,283,2013
"Turner County, Georgia",5,13,287,2013
"Atkinson County, Georgia",61,13,003,2013
"Appling County, Georgia",6,13,001,2013
"Brantley County, Georgia",163,13,025,2013
"Ben Hill County, Georgia",148,13,017,2013
"Catoosa County, Georgia",502,13,047,2013
"Chattooga County, Georgia",37,13,055,2013
"Columbia County, Georgia",1978,13,073,2013
"Floyd County, Georgia",849,13,115,2013
