NAME,B03001_005E,state,county,year
"Childress County, Texas",15,48,075,2015
"Comal County, Texas",627,48,091,2015
"Houston County, Texas",20,48,225,2015
"Navarro County, Texas",219,48,349,2015
"Scurry County, Texas",5,48,415,2015
"Stonewall County, Texas",1,48,433,2015
"Bastrop County, Texas",81,48,021,2015
"Bee County, Texas",78,48,025,2015
"Crane County, Texas",0,48,103,2015
"Rutland County, Vermont",163,50,021,2015
"Orange County, Vermont",174,50,017,2015
"Windsor County, Vermont",321,50,027,2015
"Juncos Municipio, Puerto Rico",39720,72,077,2015
"Adjuntas Municipio, Puerto Rico",18859,72,001,2015
"Hormigueros Municipio, Puerto Rico",16406,72,067,2015
"Naranjito Municipio, Puerto Rico",29427,72,105,2015
"Arecibo Municipio, Puerto Rico",90330,72,013,2015
"Florida Municipio, Puerto Rico",12297,72,054,2015
"Moca Municipio, Puerto Rico",38040,72,099,2015
"Salinas Municipio, Puerto Rico",29754,72,123,2015
"Yauco Municipio, Puerto Rico",39042,72,153,2015
"Cabo Rojo Municipio, Puerto Rico",49783,72,023,2015
"Las Marías Municipio, Puerto Rico",9148,72,083,2015
"Villalba Municipio, Puerto Rico",24514,72,149,2015
"Aguada Municipio, Puerto Rico",37653,72,003,2015
"Cidra Municipio, Puerto Rico",41599,72,041,2015
"Luquillo Municipio, Puerto Rico",18436,72,089,2015
"Orocovis Municipio, Puerto Rico",22334,72,107,2015
"Trinity County, Texas",51,48,455,2015
"Bandera County, Texas",53,48,019,2015
"Ceiba Municipio, Puerto Rico",12512,72,037,2015
"Isabela Municipio, Puerto Rico",43487,72,071,2015
"Las Piedras Municipio, Puerto Rico",38116,72,085,2015
"Vega Alta Municipio, Puerto Rico",38364,72,143,2015
"Somerset County, Pennsylvania",466,42,111,2015
"Madison County, Missouri",0,29,123,2015
"Vernon County, Missouri",9,29,217,2015
"Nodaway County, Missouri",61,29,147,2015
"Chariton County, Missouri",6,29,041,2015
"Wayne County, Missouri",34,29,223,2015
"Scott County, Missouri",8,29,201,2015
"Barton County, Missouri",0,29,011,2015
"Cedar County, Missouri",16,29,039,2015
"Gasconade County, Missouri",23,29,073,2015
"Macon County, Missouri",6,29,121,2015
"Oregon County, Missouri",46,29,149,2015
"Ste. Genevieve County, Missouri",1,29,186,2015
"Douglas County, Missouri",0,29,067,2015
"Lawrence County, Missouri",81,29,109,2015
"Pulaski County, Missouri",1289,29,169,2015
"Texas County, Missouri",70,29,215,2015
"Callaway County, Missouri",75,29,027,2015
"Cooper County, Missouri",36,29,053,2015
"Gentry County, Missouri",13,29,075,2015
"Mississippi County, Missouri",67,29,133,2015
"Ozark County, Missouri",20,29,153,2015
"Bollinger County, Missouri",0,29,017,2015
"Knox County, Missouri",1,29,103,2015
"Montgomery County, Missouri",32,29,139,2015
"Stoddard County, Missouri",71,29,207,2015
"Audrain County, Missouri",28,29,007,2015
"Greene County, Missouri",698,29,077,2015
"St. Clair County, Missouri",8,29,185,2015
"Schuyler County, Missouri",7,29,197,2015
"Camden County, Missouri",19,29,029,2015
"Jefferson County, Missouri",210,29,099,2015
"New Madrid County, Missouri",12,29,143,2015
"Ralls County, Missouri",19,29,173,2015
"Custer County, Montana",18,30,017,2015
"Powder River County, Montana",0,30,075,2015
"Roosevelt County, Montana",0,30,085,2015
"Liberty County, Montana",0,30,051,2015
"Richland County, Montana",0,30,083,2015
"Toole County, Montana",0,30,101,2015
"Daniels County, Montana",0,30,019,2015
"Judith Basin County, Montana",2,30,045,2015
"Deer Lodge County, Montana",8,30,023,2015
"McCone County, Montana",0,30,055,2015
"Rosebud County, Montana",0,30,087,2015
"Dawson County, Montana",0,30,021,2015
"Broadwater County, Montana",11,30,007,2015
"Phillips County, Montana",0,30,071,2015
"Blaine County, Nebraska",0,31,009,2015
"Deuel County, Nebraska",0,31,049,2015
"Logan County, Nebraska",0,31,113,2015
"Thayer County, Nebraska",0,31,169,2015
"Adams County, Nebraska",10,31,001,2015
"Henry County, Missouri",9,29,083,2015
"Boone County, Nebraska",0,31,011,2015
"Rock County, Nebraska",0,31,149,2015
"Sherman County, Nebraska",10,31,163,2015
"Howard County, Nebraska",0,31,093,2015
"Gosper County, Nebraska",0,31,073,2015
"Sarpy County, Nebraska",941,31,153,2015
"Boyd County, Nebraska",0,31,015,2015
"Fillmore County, Nebraska",5,31,059,2015
"Hooker County, Nebraska",0,31,091,2015
"Seward County, Nebraska",0,31,159,2015
"Webster County, Nebraska",0,31,181,2015
"Butler County, Nebraska",1,31,023,2015
"Arthur County, Nebraska",0,31,005,2015
"Gage County, Nebraska",15,31,067,2015
"Kearney County, Nebraska",0,31,099,2015
"Madison County, Nebraska",152,31,119,2015
"Phelps County, Nebraska",10,31,137,2015
"Wayne County, Nebraska",0,31,179,2015
"Knox County, Nebraska",1,31,107,2015
