NAME,B03001_005E,state,county,year
"Linn County, Missouri",3,29,115,2012
"Howell County, Missouri",12,29,091,2012
"Johnson County, Missouri",158,29,101,2012
"Laclede County, Missouri",0,29,105,2012
"Maries County, Missouri",0,29,125,2012
"Phelps County, Missouri",24,29,161,2012
"Platte County, Missouri",388,29,165,2012
"St. Francois County, Missouri",3,29,187,2012
"St. Louis city, Missouri",731,29,510,2012
"Andrew County, Missouri",3,29,003,2012
"Butler County, Missouri",11,29,023,2012
"Carroll County, Missouri",1,29,033,2012
"Daviess County, Missouri",23,29,061,2012
"Holt County, Missouri",0,29,087,2012
"Marion County, Missouri",14,29,127,2012
"Osage County, Missouri",0,29,151,2012
"Ripley County, Missouri",12,29,181,2012
"Warren County, Missouri",6,29,219,2012
"Washington County, Missouri",0,29,221,2012
"Christian County, Missouri",197,29,043,2012
"DeKalb County, Missouri",0,29,063,2012
"Harrison County, Missouri",0,29,081,2012
"Lafayette County, Missouri",109,29,107,2012
"Adair County, Missouri",37,29,001,2012
"Scotland County, Missouri",0,29,199,2012
"Sullivan County, Missouri",105,29,211,2012
"Clark County, Missouri",0,29,045,2012
"Jasper County, Missouri",138,29,097,2012
"Lewis County, Missouri",0,29,111,2012
"McDonald County, Missouri",0,29,119,2012
"Perry County, Missouri",0,29,157,2012
"Polk County, Missouri",0,29,167,2012
"Ray County, Missouri",157,29,177,2012
"Hill County, Montana",23,30,041,2012
"Chouteau County, Montana",0,30,015,2012
"Lincoln County, Montana",0,30,053,2012
"Park County, Montana",16,30,067,2012
"Treasure County, Montana",0,30,103,2012
"Blaine County, Montana",0,30,005,2012
"Sweet Grass County, Montana",0,30,097,2012
"Teton County, Montana",0,30,099,2012
"Prairie County, Montana",0,30,079,2012
"Glacier County, Montana",1,30,035,2012
"Fallon County, Montana",0,30,025,2012
"Golden Valley County, Montana",0,30,037,2012
"Silver Bow County, Montana",39,30,093,2012
"Stillwater County, Montana",27,30,095,2012
"Jefferson County, Montana",0,30,043,2012
"Granite County, Montana",0,30,039,2012
"Wheatland County, Montana",0,30,107,2012
"Madison County, Montana",2,30,057,2012
"Sheridan County, Montana",0,30,091,2012
"Carter County, Montana",0,30,011,2012
"Big Horn County, Montana",0,30,003,2012
"Lake County, Montana",0,30,047,2012
"Lewis and Clark County, Montana",134,30,049,2012
"Pondera County, Montana",0,30,073,2012
"Yellowstone County, Montana",339,30,111,2012
"Missoula County, Montana",121,30,063,2012
"Barron County, Wisconsin",49,55,005,2012
"Sawyer County, Wisconsin",69,55,113,2012
"Green Lake County, Wisconsin",32,55,047,2012
"Price County, Wisconsin",30,55,099,2012
"Marquette County, Wisconsin",118,55,077,2012
"Marinette County, Wisconsin",75,55,075,2012
"Milwaukee County, Wisconsin",29188,55,079,2012
"Racine County, Wisconsin",1440,55,101,2012
