NAME,B03001_005E,state,county,year
"Autauga County, Alabama",595,01,001,2023
"Baldwin County, Alabama",932,01,003,2023
"Barbour County, Alabama",15,01,005,2023
"Bibb County, Alabama",134,01,007,2023
"Blount County, Alabama",43,01,009,2023
"Bullock County, Alabama",0,01,011,2023
"Butler County, Alabama",6,01,013,2023
"Calhoun County, Alabama",753,01,015,2023
"Chambers County, Alabama",68,01,017,2023
"Cherokee County, Alabama",6,01,019,2023
"Chilton County, Alabama",62,01,021,2023
"Choctaw County, Alabama",21,01,023,2023
"Clarke County, Alabama",16,01,025,2023
"Clay County, Alabama",0,01,027,2023
"Cleburne County, Alabama",7,01,029,2023
"Coffee County, Alabama",1102,01,031,2023
"Colbert County, Alabama",78,01,033,2023
"Conecuh County, Alabama",39,01,035,2023
"Coosa County, Alabama",195,01,037,2023
"Covington County, Alabama",127,01,039,2023
"Crenshaw County, Alabama",3,01,041,2023
"Cullman County, Alabama",179,01,043,2023
"Dale County, Alabama",952,01,045,2023
"Dallas County, Alabama",155,01,047,2023
"DeKalb County, Alabama",564,01,049,2023
"Elmore County, Alabama",116,01,051,2023
"Escambia County, Alabama",178,01,053,2023
"Etowah County, Alabama",534,01,055,2023
"Fayette County, Alabama",2,01,057,2023
"Franklin County, Alabama",132,01,059,2023
"Geneva County, Alabama",148,01,061,2023
"Greene County, Alabama",0,01,063,2023
"Hale County, Alabama",0,01,065,2023
"Henry County, Alabama",105,01,067,2023
"Houston County, Alabama",588,01,069,2023
"Jackson County, Alabama",214,01,071,2023
"Jefferson County, Alabama",2150,01,073,2023
"Lamar County, Alabama",107,01,075,2023
"Lauderdale County, Alabama",61,01,077,2023
"Lawrence County, Alabama",115,01,079,2023
"Lee County, Alabama",913,01,081,2023
"Limestone County, Alabama",718,01,083,2023
"Lowndes County, Alabama",0,01,085,2023
"Macon County, Alabama",91,01,087,2023
"Madison County, Alabama",3915,01,089,2023
"Marengo County, Alabama",44,01,091,2023
"Marion County, Alabama",14,01,093,2023
"Marshall County, Alabama",620,01,095,2023
"Mobile County, Alabama",1683,01,097,2023
"Monroe County, Alabama",0,01,099,2023
"Montgomery County, Alabama",843,01,101,2023
"Morgan County, Alabama",637,01,103,2023
"Perry County, Alabama",0,01,105,2023
"Pickens County, Alabama",13,01,107,2023
"Pike County, Alabama",65,01,109,2023
"Randolph County, Alabama",40,01,111,2023
"Russell County, Alabama",1128,01,113,2023
"St. Clair County, Alabama",534,01,115,2023
"Shelby County, Alabama",1406,01,117,2023
"Sumter County, Alabama",9,01,119,2023
"Talladega County, Alabama",34,01,121,2023
"Tallapoosa County, Alabama",15,01,123,2023
"Tuscaloosa County, Alabama",1272,01,125,2023
"Walker County, Alabama",68,01,127,2023
